time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z
5,0.0075,0.0102,-0.0008,-0.44,0.94,-34.53,0.009,0.010,0.180,-0.207
5,0.0029,0.0014,-0.0005,-0.36,0.93,-34.50,0.011,-0.097,-0.070,-0.093
5,0.0032,0.0014,-0.0006,-0.36,0.93,-34.46,0.011,0.382,-0.033,-0.003
5,0.0043,0.0008,0.0030,-0.36,0.92,-34.43,0.011,-0.200,-0.222,-0.027
5,0.0048,-0.0024,0.0030,-0.34,0.90,-34.40,0.011,-0.314,-0.010,0.222
5,0.0034,0.0092,0.0030,-0.40,0.96,-34.36,0.011,-0.015,0.063,-0.076
5,0.0038,0.0010,0.0030,-0.35,0.92,-34.33,0.009,-0.114,0.035,0.198
5,0.0069,0.0033,0.0029,-0.38,0.91,-34.29,0.009,0.087,0.095,0.018
5,0.0047,-0.0001,0.0003,-0.35,0.91,-34.26,0.009,-0.157,-0.092,0.051
5,0.0091,0.0175,0.0002,-0.49,0.96,-34.22,0.009,0.153,0.182,0.023
5,0.0047,0.0016,0.0007,-0.36,0.92,-34.19,0.009,-0.190,-0.045,0.077
5,-0.0003,0.0051,0.0005,-0.36,0.97,-34.16,0.009,0.033,0.099,-0.162
5,-0.0003,0.0054,0.0004,-0.36,0.97,-34.13,0.009,0.058,0.026,-0.163
5,0.0093,0.0080,-0.0012,-0.42,0.91,-34.09,0.009,-0.109,-0.033,-0.335
5,0.0054,-0.0021,-0.0007,-0.34,0.89,-34.06,0.009,0.062,-0.088,-0.244
5,0.0072,0.0072,-0.0004,-0.40,0.93,-34.03,0.009,0.308,0.020,-0.081
5,0.0034,-0.0007,-0.0001,-0.33,0.92,-33.99,0.009,-0.240,0.046,0.177
5,0.0024,0.0001,-0.0002,-0.33,0.93,-33.96,0.010,0.103,-0.077,0.181
5,-0.0015,0.0029,0.0010,-0.33,0.97,-33.93,0.010,0.071,0.171,-0.052
5,0.0050,0.0058,0.0010,-0.38,0.94,-33.89,0.010,0.019,-0.158,-0.005
5,0.0006,0.0055,0.0009,-0.35,0.96,-33.86,0.010,-0.176,0.025,-0.061
5,0.0098,0.0061,0.0006,-0.40,0.90,-33.83,0.008,0.084,0.104,-0.249
5,0.0023,-0.0004,0.0008,-0.32,0.92,-33.80,0.008,-0.061,0.053,0.029
5,0.0001,0.0026,-0.0030,-0.32,0.95,-33.76,0.008,0.038,0.221,0.205
5,0.0016,-0.0013,-0.0027,-0.30,0.92,-33.73,0.008,0.166,0.218,0.115
5,0.0091,-0.0004,-0.0025,-0.34,0.88,-33.70,0.008,-0.006,0.136,-0.267
5,0.0083,-0.0014,-0.0023,-0.33,0.88,-33.66,0.008,0.041,0.014,-0.122
5,0.0011,0.0005,-0.0020,-0.31,0.93,-33.63,0.011,-0.143,-0.080,-0.098
5,0.0053,0.0089,0.0028,-0.38,0.94,-33.60,0.011,-0.178,0.275,-0.038
5,0.0007,0.0018,0.0029,-0.32,0.94,-33.56,0.011,-0.062,0.150,-0.244
5,0.0044,0.0007,0.0029,-0.33,0.91,-33.53,0.011,-0.203,-0.239,-0.024
5,0.0052,0.0016,0.0030,-0.34,0.91,-33.50,0.009,0.070,0.358,0.186
5,0.0080,-0.0005,0.0028,-0.34,0.88,-33.46,0.009,0.315,-0.055,0.065
5,0.0040,0.0020,0.0008,-0.34,0.92,-33.43,0.009,-0.064,0.109,-0.155
6,0.0051,0.0012,0.0010,-0.33,0.91,-33.40,0.009,0.075,-0.012,-0.091
6,0.0066,0.0055,0.0012,-0.37,0.92,-33.36,0.009,0.160,-0.339,0.348
6,0.0030,-0.0020,0.0013,-0.30,0.91,-33.33,0.009,0.040,-0.048,-0.018
6,0.0040,0.0015,0.0010,-0.33,0.92,-33.30,0.009,-0.008,-0.097,0.021
6,0.0076,-0.0010,-0.0008,-0.32,0.89,-33.26,0.009,-0.031,0.003,-0.108
6,0.0022,-0.0029,-0.0006,-0.29,0.92,-33.23,0.009,-0.140,-0.044,0.144
6,0.0040,-0.0039,-0.0007,-0.29,0.90,-33.20,0.009,0.056,-0.051,-0.294
6,0.0028,-0.0031,-0.0008,-0.29,0.91,-33.16,0.011,-0.048,-0.058,0.245
6,0.0037,0.0005,-0.0010,-0.32,0.92,-33.13,0.011,-0.009,-0.246,-0.041
6,0.0035,0.0022,0.0025,-0.33,0.93,-33.10,0.011,-0.150,0.146,0.113
6,0.0066,0.0027,0.0025,-0.34,0.92,-33.07,0.011,-0.036,-0.012,-0.093
6,0.0031,-0.0022,0.0024,-0.30,0.92,-33.03,0.011,-0.121,0.131,0.136
6,0.0035,-0.0023,0.0024,-0.30,0.92,-33.00,0.011,-0.121,-0.012,0.167
6,0.0061,0.0062,0.0025,-0.37,0.94,-32.97,0.011,-0.114,0.037,-0.109
6,0.0092,0.0021,0.0045,-0.35,0.90,-32.94,0.011,-0.201,0.108,-0.055
6,-0.0087,-0.0116,0.0046,-0.19,0.96,-32.90,0.011,-0.112,-0.003,0.135
6,-0.0216,-0.0256,0.0039,-0.05,0.99,-32.87,0.011,-0.214,0.162,0.047
6,-0.0211,-0.0256,0.0038,-0.05,0.98,-32.84,0.011,0.166,-0.010,-0.122
6,-0.0176,-0.0206,0.0042,-0.10,0.98,-32.81,0.011,-0.042,-0.001,-0.122
6,-0.0177,-0.0210,0.0049,-0.10,0.98,-32.77,0.011,-0.081,-0.043,0.053
6,-0.0203,-0.0119,0.0051,-0.16,1.04,-32.74,0.011,-0.318,-0.004,-0.311
6,-0.0201,-0.0197,0.0050,-0.11,1.00,-32.71,0.011,-0.194,-0.178,0.283
6,-0.0147,-0.0186,0.0052,-0.14,0.97,-32.68,0.011,0.001,-0.028,0.242
6,-0.0193,-0.0170,0.0052,-0.13,1.01,-32.65,0.010,0.032,0.140,-0.060
6,-0.0191,-0.0243,0.0022,-0.09,0.98,-32.62,0.010,0.057,0.128,0.193
6,-0.0093,-0.0094,0.0029,-0.23,0.97,-32.58,0.010,-0.323,-0.266,0.069
6,-0.0119,-0.0140,0.0029,-0.19,0.97,-32.55,0.010,-0.101,-0.204,-0.208
6,-0.0173,-0.0207,0.0027,-0.13,0.98,-32.52,0.011,-0.184,-0.028,0.098
6,-0.0157,-0.0145,0.0028,-0.18,0.99,-32.49,0.011,-0.250,0.330,0.142
6,-0.0139,-0.0145,0.0031,-0.19,0.98,-32.45,0.011,-0.079,0.246,-0.276
6,-0.0121,-0.0161,0.0032,-0.19,0.96,-32.42,0.011,-0.033,0.035,-0.178
6,-0.0109,-0.0143,0.0033,-0.21,0.95,-32.39,0.011,0.126,0.175,-0.242
6,-0.0133,-0.0118,0.0034,-0.22,0.98,-32.35,0.011,0.174,-0.234,-0.088
6,-0.0098,-0.0089,0.0035,-0.25,0.97,-32.33,0.012,-0.009,0.221,-0.118
6,-0.0090,-0.0209,0.0056,-0.18,0.91,-32.30,0.012,-0.339,0.050,0.101
7,-0.0114,-0.0181,0.0059,-0.19,0.94,-32.27,0.012,0.128,-0.041,0.030
7,-0.0071,-0.0073,0.0063,-0.28,0.95,-32.23,0.012,-0.155,-0.083,-0.009
7,-0.0097,-0.0144,0.0067,-0.22,0.94,-32.20,0.009,-0.398,0.173,0.058
7,-0.0100,-0.0132,0.0070,-0.23,0.95,-32.17,0.009,-0.173,-0.179,0.042
7,-0.0074,-0.0095,0.0012,-0.27,0.95,-32.14,0.009,-0.116,0.217,0.138
7,-0.0055,-0.0044,0.0011,-0.31,0.96,-32.11,0.009,0.000,0.031,0.128
7,-0.0049,-0.0081,0.0011,-0.29,0.94,-32.08,0.009,-0.008,-0.367,-0.029
7,-0.0036,-0.0040,0.0013,-0.32,0.94,-32.04,0.009,-0.041,0.085,0.036
7,-0.0033,-0.0040,0.0012,-0.32,0.94,-32.01,0.008,0.102,-0.094,-0.334
7,-0.0018,-0.0044,-0.0052,-0.32,0.93,-31.98,0.008,0.136,0.096,-0.014
7,0.0022,-0.0094,-0.0050,-0.30,0.88,-31.95,0.008,-0.102,-0.065,0.146
7,-0.0018,-0.0065,-0.0050,-0.31,0.92,-31.92,0.008,-0.014,-0.173,-0.179
7,-0.0021,-0.0071,-0.0051,-0.30,0.93,-31.89,0.009,0.020,-0.154,0.090
7,-0.0047,-0.0064,-0.0051,-0.29,0.94,-31.86,0.009,0.266,-0.255,-0.075
7,-0.0064,-0.0045,-0.0057,-0.30,0.96,-31.83,0.009,-0.247,-0.091,-0.003
7,-0.0038,-0.0095,-0.0057,-0.27,0.92,-31.80,0.009,-0.004,0.207,0.167
7,-0.0010,-0.0007,-0.0056,-0.34,0.94,-31.76,0.009,-0.228,-0.074,0.028
7,-0.0017,-0.0042,-0.0055,-0.32,0.93,-31.73,0.004,-0.025,-0.160,-0.125
7,-0.0049,-0.0006,-0.0055,-0.33,0.97,-31.70,0.004,-0.012,-0.081,0.022
7,-0.0008,-0.0041,-0.0167,-0.32,0.93,-31.67,0.004,0.048,-0.400,-0.119
7,0.0025,0.0010,-0.0167,-0.37,0.93,-31.64,0.004,-0.054,0.090,0.302
7,-0.0001,0.0012,-0.0167,-0.36,0.95,-31.61,0.004,-0.042,0.194,-0.098
7,0.0019,0.0000,-0.0166,-0.36,0.93,-31.58,0.012,0.292,0.307,0.015
7,-0.0001,-0.0029,-0.0165,-0.33,0.93,-31.54,0.012,-0.061,0.391,-0.195
7,-0.0029,-0.0050,-0.0038,-0.31,0.94,-31.52,0.012,-0.002,0.275,0.060
7,-0.0016,-0.0054,-0.0037,-0.31,0.93,-31.48,0.012,-0.156,-0.054,0.150
7,0.0017,-0.0001,-0.0037,-0.36,0.93,-31.45,0.012,0.068,0.057,0.167
7,0.0001,-0.0030,-0.0036,-0.33,0.93,-31.42,0.012,-0.133,-0.260,-0.178
7,0.0003,0.0013,-0.0039,-0.36,0.94,-31.39,0.008,0.042,0.029,0.180
7,-0.0014,0.0024,-0.0047,-0.36,0.96,-31.36,0.008,-0.342,0.138,0.146
7,0.0019,-0.0102,-0.0045,-0.29,0.88,-31.33,0.008,-0.105,-0.113,0.113
7,-0.0020,-0.0073,-0.0042,-0.29,0.92,-31.30,0.008,-0.046,0.141,-0.061
7,0.0028,0.0008,-0.0042,-0.37,0.92,-31.26,0.010,-0.168,-0.065,-0.300
7,0.0016,0.0011,-0.0044,-0.37,0.93,-31.23,0.010,-0.179,-0.188,0.456
8,0.0024,0.0003,-0.0002,-0.37,0.92,-31.20,0.010,-0.040,-0.238,0.193
8,0.0081,0.0007,-0.0001,-0.40,0.89,-31.17,0.010,0.121,-0.148,0.110
8,0.0029,0.0011,0.0001,-0.38,0.93,-31.14,0.010,-0.042,-0.300,-0.564
8,0.0001,-0.0036,0.0000,-0.33,0.93,-31.11,0.010,-0.120,0.066,0.202
8,0.0026,0.0006,0.0001,-0.37,0.93,-31.08,0.009,0.101,-0.232,0.156
8,0.0027,-0.0058,0.0004,-0.33,0.90,-31.05,0.009,-0.111,-0.251,0.158
8,-0.0005,-0.0086,0.0002,-0.29,0.91,-31.02,0.009,-0.081,-0.168,0.129
8,0.0008,-0.0021,0.0004,-0.34,0.93,-30.99,0.009,0.097,0.169,-0.269
8,0.0042,0.0013,0.0003,-0.38,0.92,-30.95,0.011,0.055,-0.187,-0.410
8,0.0025,-0.0015,0.0004,-0.35,0.92,-30.92,0.011,-0.019,0.080,0.159
8,0.0001,-0.0012,0.0050,-0.34,0.94,-30.89,0.011,0.003,0.297,0.051
8,0.0047,0.0014,0.0052,-0.38,0.93,-30.86,0.011,0.112,-0.063,0.005
8,0.0050,0.0014,0.0050,-0.38,0.92,-30.83,0.011,-0.328,0.087,-0.023
8,0.0031,-0.0019,0.0049,-0.35,0.93,-30.80,0.006,-0.135,0.079,0.065
8,0.0033,-0.0019,0.0049,-0.35,0.93,-30.77,0.006,-0.082,0.203,0.129
8,0.0021,-0.0040,-0.0043,-0.33,0.93,-30.74,0.006,0.130,-0.063,-0.394
8,0.0180,0.0181,-0.0044,-0.55,0.91,-30.71,0.006,0.122,-0.018,0.106
8,0.0187,0.0195,-0.0043,-0.56,0.91,-30.68,0.006,-0.100,0.025,-0.197
8,0.0107,0.0063,-0.0035,-0.43,0.91,-30.65,0.007,-0.090,-0.187,0.096
8,0.0162,0.0206,-0.0037,-0.55,0.93,-30.62,0.007,-0.164,0.072,0.128
8,0.0131,0.0129,-0.0059,-0.48,0.92,-30.59,0.007,0.067,0.023,-0.225
8,0.0030,-0.0040,-0.0053,-0.31,0.92,-30.56,0.007,-0.008,-0.199,0.065
8,-0.0008,0.0039,-0.0053,-0.35,0.98,-30.53,0.007,-0.087,0.101,0.016
8,-0.0010,-0.0016,-0.0052,-0.31,0.96,-30.50,0.007,0.281,-0.181,0.141
8,0.0059,0.0052,-0.0049,-0.39,0.94,-30.47,0.009,-0.109,-0.297,0.062
8,0.0060,-0.0061,-0.0016,-0.31,0.89,-30.44,0.009,-0.108,0.054,0.053
8,0.0064,0.0021,-0.0014,-0.37,0.93,-30.41,0.009,0.079,-0.085,0.122
8,0.0007,0.0040,-0.0016,-0.36,0.97,-30.38,0.009,0.057,0.015,-0.333
8,0.0021,0.0060,-0.0017,-0.37,0.97,-30.35,0.011,-0.075,0.079,0.094
8,0.0031,0.0095,-0.0017,-0.40,0.98,-30.32,0.011,0.074,-0.287,-0.290
8,0.0020,0.0071,0.0047,-0.38,0.98,-30.29,0.011,-0.115,-0.095,-0.231
8,0.0009,-0.0048,0.0049,-0.29,0.94,-30.26,0.011,0.078,-0.085,-0.028
8,-0.0023,0.0109,0.0050,-0.38,1.03,-30.24,0.011,-0.188,0.123,0.045
8,0.0019,0.0057,0.0052,-0.36,0.98,-30.21,0.010,0.183,-0.196,0.002
8,0.0022,0.0060,0.0050,-0.36,0.97,-30.18,0.010,-0.059,-0.093,0.022
8,0.0108,0.0009,0.0056,-0.36,0.90,-30.14,0.010,-0.242,0.190,0.156
9,0.0060,0.0033,0.0055,-0.36,0.94,-30.11,0.010,-0.231,0.045,0.187
9,0.0089,0.0164,0.0052,-0.46,0.97,-30.08,0.010,-0.208,0.325,0.092
9,0.0079,0.0118,0.0053,-0.42,0.95,-30.05,0.012,-0.178,-0.167,0.255
9,0.0089,0.0133,0.0055,-0.44,0.95,-30.02,0.012,-0.124,0.162,0.215
9,0.0116,0.0139,0.0098,-0.45,0.93,-29.99,0.012,-0.072,0.032,-0.063
9,0.0090,0.0093,0.0098,-0.40,0.93,-29.96,0.012,0.014,-0.431,-0.124
9,0.0118,0.0124,0.0097,-0.44,0.93,-29.93,0.012,-0.084,-0.093,0.179
9,0.0070,0.0090,0.0099,-0.39,0.95,-29.90,0.007,-0.212,-0.195,-0.078
9,0.0066,0.0130,0.0098,-0.41,0.97,-29.88,0.007,-0.087,-0.189,0.085
9,0.0093,0.0174,-0.0002,-0.46,0.97,-29.85,0.007,0.120,-0.019,-0.106
9,0.0056,0.0083,-0.0002,-0.37,0.96,-29.82,0.007,-0.190,-0.263,-0.111
9,0.0084,0.0157,-0.0004,-0.44,0.97,-29.79,0.007,-0.216,-0.028,0.194
9,0.0040,0.0080,-0.0001,-0.36,0.97,-29.79,0.007,-0.213,0.147,-0.171
9,0.0059,0.0092,-0.0000,-0.38,0.96,-29.76,0.007,-0.222,-0.123,0.021
9,0.0079,0.0150,-0.0060,-0.43,0.97,-29.73,0.007,0.109,-0.013,0.346
9,0.0041,0.0059,-0.0057,-0.35,0.96,-29.70,0.007,0.031,-0.182,0.020
9,0.0057,0.0084,-0.0058,-0.38,0.96,-29.67,0.007,0.097,0.028,0.121
9,0.0093,0.0123,-0.0058,-0.42,0.95,-29.64,0.007,-0.136,-0.017,0.087
9,0.0064,0.0095,-0.0056,-0.38,0.96,-29.61,0.008,0.120,0.123,0.211
9,0.0097,0.0111,-0.0061,-0.40,0.94,-29.58,0.008,-0.028,0.252,-0.159
9,0.0082,0.0113,-0.0059,-0.40,0.95,-29.55,0.008,0.087,-0.132,-0.164
9,0.0036,0.0031,-0.0056,-0.32,0.95,-29.52,0.008,-0.097,-0.107,-0.098
9,0.0068,0.0063,-0.0055,-0.35,0.94,-29.49,0.010,0.018,0.217,0.037
9,0.0060,0.0051,-0.0054,-0.34,0.94,-29.46,0.010,0.041,-0.086,-0.273
9,0.0030,0.0092,-0.0008,-0.36,0.97,-29.43,0.010,-0.076,-0.327,-0.002
9,0.0035,0.0097,-0.0007,-0.35,0.97,-29.38,0.010,-0.002,0.086,0.301
