time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z,ekf_x,ekf_y,acc_x,acc_y,acc_z
4294,-0.0138,0.0070,0.0062,-1.05,0.36,-68.97,0.011,0.374,-0.572,-0.018,-0.3242,1.1863,0.0017,-0.0218,1.0016
4344,-0.0117,-0.0011,0.0065,-1.04,0.29,-68.90,0.012,0.414,-0.766,-0.212,-0.3244,1.1868,0.0010,-0.0232,1.0007
4395,-0.0095,0.0040,0.0067,-1.08,0.32,-68.84,0.012,0.119,-0.358,0.347,-0.3245,1.1872,0.0006,-0.0235,1.0011
4447,-0.0104,0.0064,0.0084,-1.07,0.34,-68.77,0.012,0.420,-0.593,-0.032,-0.3247,1.1873,-0.0011,-0.0240,1.0018
4497,-0.0112,0.0086,0.0082,-1.07,0.36,-68.71,0.012,0.482,-0.292,-0.015,-0.3246,1.1865,-0.0022,-0.0243,0.9995
4549,-0.0117,0.0089,0.0084,-1.07,0.37,-68.64,0.012,0.400,-0.440,-0.274,-0.3247,1.1866,-0.0011,-0.0226,0.9996
4599,-0.0114,0.0048,0.0086,-1.06,0.34,-68.58,0.007,0.167,-0.365,-0.174,-0.3251,1.1853,0.0003,-0.0239,1.0009
4651,-0.0120,0.0051,0.0087,-1.06,0.34,-68.52,0.007,0.276,-0.452,0.099,-0.3251,1.1856,0.0022,-0.0239,0.9979
4701,-0.0137,-0.0008,0.0090,-1.02,0.30,-68.45,0.007,0.312,-0.281,0.100,-0.3247,1.1873,0.0015,-0.0235,0.9996
4752,-0.0142,0.0007,-0.0021,-1.03,0.31,-68.39,0.007,-0.027,-0.276,0.068,-0.3244,1.1868,0.0001,-0.0234,0.9981
4803,-0.0123,0.0098,-0.0021,-1.07,0.37,-68.32,0.007,0.400,-0.266,-0.121,-0.3243,1.1875,0.0019,-0.0227,0.9994
4854,-0.0113,0.0074,-0.0019,-1.07,0.35,-68.26,0.005,0.210,-0.479,0.139,-0.3241,1.1871,0.0018,-0.0235,1.0012
4905,-0.0099,0.0103,-0.0020,-1.09,0.37,-68.19,0.005,0.362,-0.549,-0.345,-0.3243,1.1874,0.0006,-0.0258,1.0008
4956,-0.0095,0.0086,-0.0126,-1.09,0.35,-68.13,0.005,0.300,-0.592,-0.155,-0.3238,1.1858,-0.0000,-0.0251,0.9997
5007,-0.0100,0.0096,-0.0127,-1.09,0.36,-68.06,0.005,0.543,-0.441,-0.240,-0.3246,1.1871,0.0014,-0.0233,1.0012
5058,-0.0080,0.0012,-0.0126,-1.08,0.29,-68.00,0.005,0.237,-0.534,-0.114,-0.3246,1.1871,0.0004,-0.0231,1.0011
5109,-0.0133,0.0043,-0.0125,-1.05,0.33,-67.94,0.010,0.270,-0.408,0.396,-0.3244,1.1862,0.0008,-0.0215,0.9973
5160,-0.0126,0.0084,-0.0124,-1.06,0.36,-67.87,0.010,0.185,-0.102,0.014,-0.3240,1.1857,0.0021,-0.0219,1.0000
5211,-0.0120,0.0034,-0.0122,-1.05,0.32,-67.81,0.010,0.438,-0.427,0.044,-0.3244,1.1872,0.0016,-0.0232,0.9994
5263,-0.0095,0.0007,-0.0060,-1.06,0.29,-67.75,0.010,0.449,-0.614,-0.072,-0.3244,1.1863,0.0017,-0.0220,1.0004
5313,-0.0116,0.0089,-0.0059,-1.07,0.36,-67.68,0.010,0.339,-0.375,0.044,-0.3250,1.1870,0.0002,-0.0230,1.0000
5365,-0.0118,0.0036,-0.0060,-1.06,0.32,-67.62,0.010,0.135,-0.400,-0.062,-0.3250,1.1870,0.0019,-0.0227,1.0010
5415,-0.0110,0.0052,-0.0060,-1.07,0.32,-67.56,0.010,0.208,-0.526,-0.005,-0.3251,1.1860,0.0007,-0.0215,1.0022
5466,-0.0144,0.0074,-0.0018,-1.05,0.35,-67.49,0.010,0.487,-0.389,0.296,-0.3251,1.1860,0.0011,-0.0228,0.9977
5517,-0.0163,-0.0026,-0.0017,-1.00,0.28,-67.43,0.010,0.099,-0.300,-0.026,-0.3246,1.1871,0.0008,-0.0240,0.9967
5568,-0.0143,0.0024,-0.0016,-1.03,0.32,-67.37,0.010,0.570,-0.583,-0.120,-0.3246,1.1871,-0.0009,-0.0249,0.9985
5619,-0.0120,0.0033,-0.0014,-1.05,0.32,-67.30,0.012,0.220,-0.592,0.209,-0.3248,1.1871,0.0001,-0.0268,1.0000
5670,-0.0114,0.0088,-0.0012,-1.07,0.35,-67.24,0.012,0.384,-0.404,0.288,-0.3251,1.1867,-0.0003,-0.0229,0.9982
5721,-0.0125,0.0081,-0.0013,-1.06,0.35,-67.18,0.012,0.617,-0.397,-0.121,-0.3246,1.1872,-0.0004,-0.0228,1.0000
5773,-0.0142,0.0061,0.0055,-1.04,0.34,-67.11,0.012,0.361,-0.746,-0.229,-0.3243,1.1873,-0.0010,-0.0247,1.0014
5823,-0.0116,0.0085,0.0054,-1.07,0.35,-67.05,0.012,0.234,-0.442,0.105,-0.3246,1.1865,0.0000,-0.0254,1.0007
5875,-0.0097,0.0092,0.0055,-1.08,0.35,-66.99,0.008,0.540,-0.568,-0.338,-0.3243,1.1864,0.0012,-0.0230,0.9996
5926,-0.0117,0.0046,0.0054,-1.05,0.32,-66.92,0.008,0.298,-0.494,-0.067,-0.3243,1.1864,0.0034,-0.0212,0.9993
5976,-0.0102,0.0040,-0.0002,-1.06,0.31,-66.86,0.008,0.435,-0.504,-0.266,-0.3244,1.1864,0.0029,-0.0220,1.0012
6027,-0.0170,-0.0036,0.0000,-0.99,0.28,-66.80,0.008,0.256,-0.595,-0.107,-0.3243,1.1874,0.0022,-0.0239,1.0029
6078,-0.0105,0.0045,0.0003,-1.06,0.32,-66.74,0.008,0.394,-0.512,-0.116,-0.3246,1.1865,-0.0003,-0.0253,1.0003
6129,-0.0103,0.0095,0.0003,-1.08,0.36,-66.67,0.008,0.177,-0.647,-0.293,-0.3247,1.1865,-0.0016,-0.0250,0.9997
6180,-0.0153,0.0069,0.0002,-1.03,0.35,-66.61,0.008,0.355,-0.391,-0.160,-0.3240,1.1868,0.0014,-0.0235,0.9974
6232,-0.0116,0.0045,0.0006,-1.05,0.33,-66.55,0.008,0.294,-0.394,-0.044,-0.3241,1.1868,-0.0008,-0.0220,1.0006
6283,-0.0096,0.0052,-0.0025,-1.07,0.33,-66.49,0.008,0.434,-0.430,-0.011,-0.3250,1.1870,-0.0001,-0.0218,1.0014
6334,-0.0089,0.0057,-0.0024,-1.08,0.33,-66.43,0.008,0.403,-0.402,-0.225,-0.3252,1.1870,0.0011,-0.0221,0.9993
6385,-0.0143,-0.0026,-0.0024,-1.01,0.29,-66.36,0.005,0.373,-0.660,-0.405,-0.3245,1.1864,0.0041,-0.0216,1.0001
6436,-0.0148,0.0072,-0.0025,-1.04,0.36,-66.30,0.005,0.282,-0.648,0.177,-0.3246,1.1865,0.0026,-0.0224,0.9994
6487,-0.0108,0.0040,-0.0107,-1.06,0.32,-66.24,0.005,0.084,-0.382,0.053,-0.3253,1.1871,0.0009,-0.0232,1.0005
6539,-0.0113,0.0044,-0.0106,-1.05,0.33,-66.18,0.005,0.514,-0.570,-0.083,-0.3250,1.1873,0.0015,-0.0222,1.0004
6589,-0.0153,0.0077,-0.0107,-1.04,0.37,-66.12,0.005,0.624,-0.333,-0.168,-0.3241,1.1864,0.0020,-0.0231,0.9992
6640,-0.0128,0.0083,-0.0106,-1.06,0.37,-66.05,0.010,0.437,-0.347,-0.446,-0.3242,1.1865,0.0020,-0.0251,1.0003
6691,-0.0105,0.0090,-0.0107,-1.07,0.37,-65.99,0.010,0.364,-0.350,-0.015,-0.3251,1.1871,0.0021,-0.0248,1.0013
6743,-0.0082,0.0035,-0.0104,-1.07,0.32,-65.93,0.010,0.296,-0.368,0.161,-0.3252,1.1872,0.0022,-0.0235,1.0006
6793,-0.0183,0.0004,-0.0031,-0.99,0.33,-65.87,0.010,0.375,-0.276,-0.013,-0.3248,1.1858,0.0015,-0.0222,1.0002
6845,-0.0136,0.0076,-0.0031,-1.04,0.36,-65.81,0.010,0.404,-0.363,0.156,-0.3252,1.1863,0.0001,-0.0249,0.9994
6895,-0.0114,-0.0006,-0.0028,-1.04,0.30,-65.75,0.006,0.337,-0.462,-0.121,-0.3246,1.1863,0.0003,-0.0232,1.0014
6946,-0.0139,0.0021,-0.0027,-1.03,0.33,-65.68,0.006,0.402,-0.346,-0.191,-0.3247,1.1875,0.0016,-0.0226,1.0004
6998,-0.0103,0.0024,-0.0069,-1.05,0.32,-65.62,0.006,0.485,-0.540,-0.044,-0.3254,1.1871,0.0014,-0.0250,1.0011
7049,-0.0107,0.0087,-0.0069,-1.07,0.36,-65.56,0.006,0.289,-0.117,0.320,-0.3256,1.1872,0.0011,-0.0243,1.0001
7099,-0.0151,0.0066,-0.0070,-1.03,0.36,-65.50,0.006,0.529,-0.402,-0.277,-0.3248,1.1875,0.0043,-0.0225,0.9989
7151,-0.0157,0.0069,-0.0068,-1.03,0.36,-65.44,0.010,0.078,-0.544,0.094,-0.3252,1.1874,0.0037,-0.0241,0.9997
7202,-0.0111,0.0087,-0.0067,-1.07,0.36,-65.38,0.010,0.483,-0.345,-0.254,-0.3249,1.1868,0.0037,-0.0248,0.9988
7252,-0.0135,0.0074,-0.0065,-1.05,0.36,-65.31,0.010,0.235,-0.970,0.183,-0.3246,1.1860,0.0015,-0.0249,1.0003
7303,-0.0119,0.0040,0.0005,-1.05,0.33,-65.25,0.010,0.174,-0.524,-0.039,-0.3251,1.1867,-0.0007,-0.0220,1.0017
7355,-0.0097,-0.0006,0.0005,-1.05,0.28,-65.19,0.010,0.551,-0.566,-0.080,-0.3253,1.1867,-0.0010,-0.0242,0.9990
7405,-0.0128,0.0031,0.0005,-1.04,0.33,-65.13,0.010,0.381,-0.451,-0.150,-0.3249,1.1877,0.0022,-0.0241,0.9988
