time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z,ekf_x,ekf_y
7,-0.0126,-0.0110,-0.0065,-0.58,-0.60,-38.31,0.006,-0.095,0.076,0.029,0.7653,1.0928
7,-0.0154,-0.0153,-0.0065,-0.55,-0.60,-38.27,0.006,-0.390,0.271,0.302,0.7652,1.0927
7,-0.0142,-0.0125,-0.0062,-0.57,-0.60,-38.24,0.006,0.042,0.296,0.120,0.7662,1.0919
7,-0.0148,-0.0139,-0.0063,-0.56,-0.60,-38.20,0.008,-0.049,0.020,0.058,0.7677,1.0927
7,-0.0149,-0.0143,-0.0065,-0.56,-0.60,-38.16,0.008,0.021,0.126,0.176,0.7654,1.0926
7,-0.0085,-0.0180,-0.0066,-0.58,-0.66,-38.13,0.008,0.197,0.207,-0.031,0.7655,1.0927
7,-0.0000,-0.0129,-0.0055,-0.65,-0.69,-38.09,0.008,0.020,-0.152,-0.096,0.7663,1.0941
7,-0.0122,-0.0131,-0.0052,-0.59,-0.61,-38.05,0.009,-0.045,0.003,0.110,0.7663,1.0930
7,-0.0108,-0.0119,-0.0051,-0.60,-0.61,-38.01,0.009,-0.402,0.137,0.207,0.7657,1.0929
7,-0.0061,-0.0044,-0.0048,-0.68,-0.61,-37.97,0.009,-0.154,0.144,0.206,0.7649,1.0937
7,-0.0059,-0.0103,-0.0017,-0.64,-0.64,-37.94,0.009,-0.219,0.063,0.014,0.7650,1.0931
7,-0.0089,-0.0105,-0.0014,-0.63,-0.62,-37.90,0.009,-0.165,-0.110,-0.232,0.7658,1.0931
7,-0.0126,-0.0057,-0.0010,-0.65,-0.57,-37.86,0.009,0.248,-0.027,-0.104,0.7658,1.0942
8,-0.0116,-0.0091,-0.0009,-0.63,-0.59,-37.82,0.010,-0.353,0.367,0.231,0.7661,1.0921
8,-0.0067,-0.0091,-0.0007,-0.66,-0.63,-37.78,0.010,-0.055,-0.028,-0.084,0.7644,1.0915
8,-0.0061,-0.0028,-0.0007,-0.70,-0.60,-37.75,0.010,-0.127,0.042,0.198,0.7644,1.0913
8,-0.0041,-0.0143,0.0031,-0.64,-0.67,-37.71,0.010,0.009,0.215,-0.048,0.7643,1.0887
8,-0.0133,-0.0168,0.0031,-0.58,-0.62,-37.67,0.011,0.042,0.170,-0.076,0.7642,1.0899
8,-0.0123,-0.0179,0.0032,-0.58,-0.63,-37.64,0.011,-0.227,-0.129,-0.065,0.7657,1.0947
8,-0.0121,-0.0313,0.0030,-0.50,-0.70,-37.60,0.011,-0.083,0.260,0.232,0.7623,1.0948
8,-0.0121,-0.0236,0.0077,-0.56,-0.65,-37.56,0.011,-0.190,0.114,0.084,0.7621,1.0948
8,-0.0025,0.0043,0.0085,-0.77,-0.58,-37.52,0.011,-0.115,0.518,-0.123,0.7614,1.0942
8,-0.0215,0.0039,0.0086,-0.68,-0.47,-37.48,0.011,-0.056,0.360,0.120,0.7602,1.0926
