t,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,a_res_x,a_res_y,a_res_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,rnn_pred_x,rnn_pred_y,rnn_pred_z,rnn_clamped,ctrltarget_x,ctrltarget_y,ctrltarget_z,motor_m1,motor_m2,motor_m3,motor_m4,e_r_x,e_r_y,e_r_z,e_r_norm
-0.0381,-0.004132,-0.192706,0.975151,-0.007146,0.015626,-0.004366,-0.240887,0.238003,-0.152576,3.694781,-1.314402,-0.428713,0.003444,-0.007463,0.998785,0.094446,-0.097925,-0.379290,0.000000,0.000000,0.000000,22.535786,-15.466854,-1.819753,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37262.000000,38947.000000,39291.000000,39221.000000,-0.043413,-0.025024,-0.003041,0.050201
-0.0364,-0.004132,-0.192706,0.975151,-0.007146,0.015626,-0.004366,-0.240887,0.238003,-0.152576,5.330972,-3.098607,-0.878768,0.000627,-0.005217,0.990989,0.063186,-0.085483,-0.447451,0.000000,0.000000,0.000000,15.830956,-17.377113,-3.839347,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37147.000000,39156.000000,39192.000000,39223.000000,-0.043426,-0.025070,-0.003043,0.050236
-0.0345,-0.004064,-0.192343,0.975073,-0.006905,0.016917,-0.004696,-0.249739,0.236379,-0.152483,3.375283,-2.762880,-0.485424,0.001495,-0.001341,0.992759,0.033095,-0.069525,-0.488723,0.000000,0.000000,0.000000,-8.764624,-2.254121,1.307073,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37183.000000,38980.000000,39364.000000,39242.000000,-0.044997,-0.024802,-0.003050,0.051470
-0.0325,-0.004135,-0.192172,0.975027,-0.007309,0.017347,-0.004586,-0.223645,0.245591,-0.156273,2.131455,-1.533074,-0.179281,0.000820,0.001471,0.992739,0.015039,-0.046083,-0.525494,0.000000,0.000000,0.000000,-16.595049,10.513648,3.778906,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37238.000000,38842.000000,39442.000000,39252.000000,-0.045383,-0.025228,-0.003120,0.052017
-0.0305,-0.004135,-0.192172,0.975027,-0.007309,0.017347,-0.004586,-0.223645,0.245591,-0.156273,1.230955,-0.355580,-0.099097,0.001622,0.001834,0.988313,0.009963,-0.015845,-0.572394,0.000000,0.000000,0.000000,-8.263800,12.480623,1.394337,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37261.000000,38757.000000,39457.000000,39300.000000,-0.045653,-0.025244,-0.003123,0.052261
-0.0284,-0.004066,-0.192084,0.975013,-0.007056,0.017668,-0.004646,-0.223645,0.245591,-0.156273,1.744619,-2.060745,-0.229190,0.000906,-0.000175,0.987661,0.011305,0.006813,-0.575321,0.000000,0.000000,0.000000,2.838211,-8.089953,-1.481742,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37189.000000,38844.000000,39471.000000,39280.000000,-0.046260,-0.025015,-0.003122,0.052683
-0.0265,-0.004066,-0.192084,0.975013,-0.007056,0.017668,-0.004646,-0.223645,0.245591,-0.156273,1.780169,-4.558887,-0.179506,-0.000184,-0.000464,0.990664,0.012804,0.011504,-0.576892,0.000000,0.000000,0.000000,0.638111,-22.891453,0.497602,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37120.000000,38905.000000,39560.000000,39197.000000,-0.046519,-0.025031,-0.003125,0.052918
-0.0246,-0.004066,-0.192084,0.975013,-0.007056,0.017668,-0.004646,-0.223645,0.245591,-0.156273,2.315200,-6.143120,-0.001469,-0.000038,-0.004512,0.994277,0.009631,0.002549,-0.586476,0.000000,0.000000,0.000000,5.376059,-17.758965,0.644850,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37127.000000,38924.000000,39635.000000,39095.000000,-0.046735,-0.025026,-0.003126,0.053106
-0.0226,-0.004138,-0.191905,0.974962,-0.007471,0.018049,-0.005567,-0.204883,0.273058,-0.157801,2.220273,-6.388499,0.267968,-0.000339,-0.005849,0.992656,0.004094,-0.016069,-0.573245,0.000000,0.000000,0.000000,-1.482423,-2.836265,3.039238,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37186.000000,38897.000000,39747.000000,39051.000000,-0.047196,-0.025748,-0.003151,0.053855
-0.0206,-0.004138,-0.191905,0.974962,-0.007471,0.018049,-0.005567,-0.204883,0.273058,-0.157801,2.832123,-6.011082,0.527157,-0.001175,-0.008086,0.996397,0.001019,-0.040864,-0.567735,0.000000,0.000000,0.000000,5.226772,0.488289,1.637315,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37277.000000,38842.000000,39780.000000,38985.000000,-0.047333,-0.025772,-0.003153,0.053987
-0.0183,-0.004138,-0.191905,0.974962,-0.007471,0.018049,-0.005567,-0.204883,0.273058,-0.157801,3.193366,-4.177843,0.839769,-0.000464,-0.008692,0.997017,-0.003400,-0.063157,-0.537893,0.000000,0.000000,0.000000,3.022950,14.945141,2.933847,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37418.000000,38723.000000,39789.000000,38957.000000,-0.047449,-0.025825,-0.003155,0.054113
-0.0166,-0.004067,-0.191954,0.974982,-0.007210,0.017870,-0.005482,-0.204883,0.273058,-0.157801,2.713560,-3.895377,1.551967,0.001250,-0.007914,0.995379,-0.005094,-0.079505,-0.508063,0.000000,0.000000,0.000000,-0.949435,7.378667,5.149606,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37587.000000,38527.000000,39952.000000,38811.000000,-0.047355,-0.025615,-0.003150,0.053931
-0.0146,-0.004067,-0.191954,0.974982,-0.007210,0.017870,-0.005482,-0.204883,0.273058,-0.157801,2.616645,-4.543205,1.449793,0.003358,-0.008038,0.994829,0.001198,-0.085678,-0.516924,0.000000,0.000000,0.000000,-4.048377,-5.453542,1.977855,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37538.000000,38568.000000,39951.000000,38820.000000,-0.047391,-0.025639,-0.003150,0.053974
-0.0127,-0.004142,-0.191773,0.974924,-0.007674,0.018221,-0.005955,-0.178035,0.323833,-0.148980,1.783522,-4.108621,1.738366,0.006257,-0.008124,0.998751,0.016574,-0.084044,-0.553605,0.000000,0.000000,0.000000,-3.494214,-0.046447,-0.127885,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37605.000000,38474.000000,40080.000000,38773.000000,-0.047580,-0.026788,-0.002984,0.054684
-0.0107,-0.004142,-0.191773,0.974924,-0.007674,0.018221,-0.005955,-0.178035,0.323833,-0.148980,1.277693,-3.452085,2.014445,0.006657,-0.007601,0.996729,0.038564,-0.082302,-0.543901,0.000000,0.000000,0.000000,-7.075603,6.793551,3.620127,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37676.000000,38374.000000,40139.000000,38743.000000,-0.047597,-0.026815,-0.002985,0.054712
