# Motion type:     linear
# Target height:   0.50 m
# Date & time:     2026-02-28 23:23:55
# URI:             radio://0/80/2M/E7E7E7E7E7

t_ms,x,y,z,vx,vy,vz,roll,pitch,yaw,thrust,zrange_mm,vbat,varPX,varPY,varPZ,flow_deltaX,flow_deltaY,flow_squal,flow_rawPixelSum,acc_x,acc_y,acc_z
81046,0.0,0.0,0.0,0.0,0.0,0.0,-0.505927324295044,-0.25430363416671753,91.06781768798828,53569.9765625,0,3.695014715194702,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
81066,0.20870904624462128,0.24447567760944366,0.5357155203819275,-0.00279593444429338,0.18840470910072327,-0.002887389622628689,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
81066,0.0,0.0,0.0,0.0,0.0,0.0,-0.47239822149276733,-0.37190550565719604,91.01004028320312,53555.9609375,0,3.695014715194702,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
81067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0010863564675673842,0.0010870248079299927,0.00021757499780505896,0,0,0,0,0.0,0.0,0.0
81068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.0,0.0,0.0,0.0,0,0,0,0,-0.0012628587428480387,-0.013655136339366436,1.0034703016281128
81086,0.20944449305534363,0.24729657173156738,0.5356662273406982,-0.002951986389234662,0.18802471458911896,-0.002269560005515814,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
81086,0.0,0.0,0.0,0.0,0.0,0.0,-0.4126298725605011,-0.47080954909324646,90.93915557861328,53541.87890625,0,3.695014715194702,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
81106,0.21059004962444305,0.24865208566188812,0.5339173674583435,-0.0021599100437015295,0.18535932898521423,-0.010310351848602295,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
81106,0.0,0.0,0.0,0.0,0.0,0.0,-0.29279011487960815,-0.5455033183097839,90.83444213867188,53825.63671875,0,3.695014715194702,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
81107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0010671145282685757,0.0010678968392312527,0.00020276676514185965,0,0,0,0,0.0,0.0,0.0
81108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532,0.0,0.0,0.0,0.0,0,0,0,0,0.0023491494357585907,-0.014774970710277557,0.9999172687530518
81126,0.20444706082344055,0.25433188676834106,0.5337064862251282,-0.014182066544890404,0.1907850056886673,-0.010337491519749165,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
81126,0.0,0.0,0.0,0.0,0.0,0.0,-0.2880435883998871,-0.5599603652954102,90.7461929321289,53835.3203125,0,3.6897361278533936,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
81146,0.20591148734092712,0.2545629143714905,0.5349488258361816,-0.01198443491011858,0.186132550239563,-0.0029958339873701334,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
81146,0.0,0.0,0.0,0.0,0.0,0.0,-0.25796210765838623,-0.48987245559692383,90.64820861816406,53594.23046875,0,3.6897361278533936,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
81147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0010496804025024176,0.0010503699304535985,0.00019434321438893676,0,0,0,0,0.0,0.0,0.0
81148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537,0.0,0.0,0.0,0.0,0,0,0,0,-0.0010919285705313087,-0.01500472892075777,1.0055807828903198
81166,0.20819534361362457,0.25723960995674133,0.5349015593528748,-0.008372408337891102,0.1858654022216797,-0.001951079466380179,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
81166,0.0,0.0,0.0,0.0,0.0,0.0,-0.26438426971435547,-0.4331743121147156,90.55805969238281,53583.89453125,0,3.7002933025360107,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
81186,0.2046765238046646,0.2649746835231781,0.5348667502403259,-0.015324900858104229,0.1945645958185196,-0.0004378306621219963,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
81186,0.0,0.0,0.0,0.0,0.0,0.0,-0.2723163068294525,-0.42617732286453247,90.4757080078125,53554.921875,0,3.695014715194702,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
81187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.001056008506566286,0.0010565940756350756,0.00023427914129570127,0,0,0,0,0.0,0.0,0.0
81188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537,0.0,0.0,0.0,0.0,0,0,0,0,-0.0024854897055774927,-0.014068923890590668,1.0049848556518555
81206,0.20538276433944702,0.26804566383361816,0.5358921885490417,-0.014377814717590809,0.19450964033603668,0.005707183852791786,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
81206,0.0,0.0,0.0,0.0,0.0,0.0,-0.20446820557117462,-0.4088212847709656,90.39265441894531,53344.62109375,0,3.6897361278533936,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
81226,0.2035476714372635,0.2715892791748047,0.5360255837440491,-0.01787305437028408,0.19529716670513153,0.007373888976871967,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
