run_id,rms_total,rms_roll,rms_pitch,rms_yaw,q_pos,q_vel,q_att,r_height,r_flow,plot
92,3.1075,3.9749,3.1083,1.8729,1e-06,1e-05,1e-05,0.0001,8.0,run_0092.png
93,5.681,5.0677,4.2223,7.3015,1e-06,1e-05,1e-05,0.001,0.5,run_0093.png
94,4.8889,4.4473,3.5757,6.2563,1e-06,1e-05,1e-05,0.001,2.0,run_0094.png
95,2.9455,3.851,2.9737,1.5348,1e-06,1e-05,1e-05,0.001,8.0,run_0095.png
96,6.0439,5.3643,4.3282,7.8789,1e-06,1e-05,1e-05,0.01,0.5,run_0096.png
97,5.0557,4.5452,3.5538,6.5871,1e-06,1e-05,1e-05,0.01,2.0,run_0097.png
98,2.889,3.8448,2.8449,1.4711,1e-06,1e-05,1e-05,0.01,8.0,run_0098.png
99,7.0911,6.8594,6.136,8.1331,1e-06,1e-05,0.0001,0.0001,0.5,run_0099.png
100,5.3294,5.8315,5.1195,4.9992,1e-06,1e-05,0.0001,0.0001,2.0,run_0100.png
101,5.4285,5.4737,4.7845,5.9627,1e-06,1e-05,0.0001,0.0001,8.0,run_0101.png
102,7.2808,7.0247,6.319,8.3519,1e-06,1e-05,0.0001,0.001,0.5,run_0102.png
103,5.2343,5.8469,5.1048,4.6848,1e-06,1e-05,0.0001,0.001,2.0,run_0103.png
104,5.6594,5.3423,4.5477,6.8458,1e-06,1e-05,0.0001,0.001,8.0,run_0104.png
105,7.4544,7.5716,6.6379,8.0816,1e-06,1e-05,0.0001,0.01,0.5,run_0105.png
106,5.4013,6.0767,5.1859,4.8686,1e-06,1e-05,0.0001,0.01,2.0,run_0106.png
107,5.7598,5.3547,4.3608,7.1997,1e-06,1e-05,0.0001,0.01,8.0,run_0107.png
108,1.8065,1.9296,1.5497,1.9146,1e-06,0.0001,1e-06,0.0001,0.5,run_0108.png
109,1.6423,1.804,1.461,1.644,1e-06,0.0001,1e-06,0.0001,2.0,run_0109.png
110,1.5165,1.6914,1.3864,1.4547,1e-06,0.0001,1e-06,0.0001,8.0,run_0110.png
111,1.8115,1.9421,1.5506,1.9152,1e-06,0.0001,1e-06,0.001,0.5,run_0111.png
112,1.642,1.8037,1.4588,1.6455,1e-06,0.0001,1e-06,0.001,2.0,run_0112.png
113,1.5123,1.687,1.3849,1.4482,1e-06,0.0001,1e-06,0.001,8.0,run_0113.png
114,1.8472,2.044,1.5759,1.8906,1e-06,0.0001,1e-06,0.01,0.5,run_0114.png
115,1.6545,1.8066,1.4579,1.6801,1e-06,0.0001,1e-06,0.01,2.0,run_0115.png
116,1.5119,1.6784,1.3806,1.461,1e-06,0.0001,1e-06,0.01,8.0,run_0116.png
117,3.0729,3.6287,2.9364,2.557,1e-06,0.0001,1e-05,0.0001,0.5,run_0117.png
118,2.7778,3.373,2.653,2.1756,1e-06,0.0001,1e-05,0.0001,2.0,run_0118.png
119,2.3762,3.1117,2.3667,1.2863,1e-06,0.0001,1e-05,0.0001,8.0,run_0119.png
120,3.0909,3.6539,2.9451,2.576,1e-06,0.0001,1e-05,0.001,0.5,run_0120.png
121,2.7771,3.3583,2.6414,2.2093,1e-06,0.0001,1e-05,0.001,2.0,run_0121.png
122,2.3485,3.0742,2.3457,1.2621,1e-06,0.0001,1e-05,0.001,8.0,run_0122.png
123,3.2721,3.9457,3.0699,2.6699,1e-06,0.0001,1e-05,0.01,0.5,run_0123.png
124,2.8071,3.3943,2.6448,2.2634,1e-06,0.0001,1e-05,0.01,2.0,run_0124.png
125,2.3301,3.0566,2.3216,1.2473,1e-06,0.0001,1e-05,0.01,8.0,run_0125.png
126,6.3168,6.1068,5.5125,7.2129,1e-06,0.0001,0.0001,0.0001,0.5,run_0126.png
127,4.8981,5.1768,4.5768,4.9221,1e-06,0.0001,0.0001,0.0001,2.0,run_0127.png
128,4.7764,4.6966,4.0567,5.4706,1e-06,0.0001,0.0001,0.0001,8.0,run_0128.png
129,6.2124,6.2166,5.6361,6.7357,1e-06,0.0001,0.0001,0.001,0.5,run_0129.png
130,4.8171,5.1894,4.6036,4.6356,1e-06,0.0001,0.0001,0.001,2.0,run_0130.png
131,4.7691,4.6226,4.0133,5.5459,1e-06,0.0001,0.0001,0.001,8.0,run_0131.png
132,6.4359,6.722,5.9468,6.6115,1e-06,0.0001,0.0001,0.01,0.5,run_0132.png
133,4.8719,5.3397,4.6747,4.565,1e-06,0.0001,0.0001,0.01,2.0,run_0133.png
134,4.9112,4.6662,3.9873,5.8897,1e-06,0.0001,0.0001,0.01,8.0,run_0134.png
135,1.4412,1.6357,0.9556,1.6256,1e-06,0.001,1e-06,0.0001,0.5,run_0135.png
136,1.4272,1.4552,1.0434,1.7043,1e-06,0.001,1e-06,0.0001,2.0,run_0136.png
137,1.4106,1.4056,1.0559,1.6967,1e-06,0.001,1e-06,0.0001,8.0,run_0137.png
138,1.4574,1.6581,0.965,1.6407,1e-06,0.001,1e-06,0.001,0.5,run_0138.png
139,1.4272,1.4525,1.0423,1.7071,1e-06,0.001,1e-06,0.001,2.0,run_0139.png
140,1.4063,1.3966,1.0544,1.6945,1e-06,0.001,1e-06,0.001,8.0,run_0140.png
141,1.4861,1.7015,1.0057,1.6491,1e-06,0.001,1e-06,0.01,0.5,run_0141.png
142,1.4325,1.4636,1.0469,1.7083,1e-06,0.001,1e-06,0.01,2.0,run_0142.png
143,1.407,1.3983,1.0562,1.6936,1e-06,0.001,1e-06,0.01,8.0,run_0143.png
144,1.7129,2.0595,1.5038,1.5162,1e-06,0.001,1e-05,0.0001,0.5,run_0144.png
145,1.6167,1.845,1.4356,1.5413,1e-06,0.001,1e-05,0.0001,2.0,run_0145.png
146,1.5665,1.7705,1.3938,1.5114,1e-06,0.001,1e-05,0.0001,8.0,run_0146.png
