cf5_A8_12-11-46.a_hat_x,cf5_A8_12-11-46.a_hat_y,cf5_A8_12-11-46.a_hat_z,cf5_A8_12-11-46.a_res_x,cf5_A8_12-11-46.a_res_y,cf5_A8_12-11-46.a_res_z,cf5_A8_12-11-46.e_r_x,cf5_A8_12-11-46.e_r_y,cf5_A8_12-11-46.e_r_z,cf5_A8_12-11-46.pos_des_x,cf5_A8_12-11-46.pos_des_y,cf5_A8_12-11-46.pos_des_z,cf5_A8_12-11-46.pos_x,cf5_A8_12-11-46.pos_y,cf5_A8_12-11-46.pos_z,cf5_A8_12-11-46.t,cf_second_A8_12-11-46.a_hat_x,cf_second_A8_12-11-46.a_hat_y,cf_second_A8_12-11-46.a_hat_z,cf_second_A8_12-11-46.a_res_x,cf_second_A8_12-11-46.a_res_y,cf_second_A8_12-11-46.a_res_z,cf_second_A8_12-11-46.e_r_x,cf_second_A8_12-11-46.e_r_y,cf_second_A8_12-11-46.e_r_z,cf_second_A8_12-11-46.pos_des_x,cf_second_A8_12-11-46.pos_des_y,cf_second_A8_12-11-46.pos_des_z,cf_second_A8_12-11-46.pos_x,cf_second_A8_12-11-46.pos_y,cf_second_A8_12-11-46.pos_z,cf_second_A8_12-11-46.t
0.000000,0.000000,0.000000,-0.091844,-0.550039,-0.073583,-0.131384,0.081205,-0.037888,-0.000000,0.550030,1.000000,-0.035094,0.528183,0.951288,5.688000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.038346,1.250000,-0.007475,0.087344,1.117254,5.688000
0.000000,0.000000,0.000000,-0.103021,-0.539319,-0.079642,-0.128199,0.081039,-0.037644,-0.000000,0.550030,1.000000,-0.035528,0.527617,0.951147,5.690000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.035850,1.250000,-0.007174,0.086779,1.117105,5.690000
0.000000,0.000000,0.000000,-0.112097,-0.522915,-0.074202,-0.116180,0.082029,-0.036758,-0.000000,0.553035,1.000000,-0.035514,0.527766,0.951168,5.692000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.035850,1.250000,-0.006936,0.084019,1.117018,5.692000
0.000000,0.000000,0.000000,-0.118274,-0.512736,-0.093579,-0.115660,0.074839,-0.035703,-0.000000,0.553035,1.000000,-0.034052,0.534076,0.952199,5.694000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.035850,1.250000,-0.006936,0.084019,1.117018,5.694000
0.000000,0.000000,0.000000,-0.122150,-0.512633,-0.123825,-0.114245,0.076445,-0.035531,-0.000000,0.553035,1.000000,-0.034081,0.534012,0.952193,5.696000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.035850,1.250000,-0.006936,0.084019,1.117018,5.696000
0.000000,0.000000,0.000000,-0.129407,-0.521943,-0.145721,-0.108705,0.076444,-0.035212,-0.000000,0.553035,1.000000,-0.034539,0.533008,0.952093,5.698000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.034946,1.250000,-0.006946,0.084174,1.117015,5.698000
0.000000,0.000000,0.000000,-0.141159,-0.536204,-0.142133,-0.106335,0.077830,-0.035010,-0.000000,0.553297,1.000000,-0.034539,0.533008,0.952093,5.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.032929,1.250000,-0.006870,0.083432,1.116974,5.700000
0.000000,0.000000,0.000000,-0.151126,-0.543991,-0.155989,-0.095064,0.078202,-0.034274,-0.000000,0.556024,1.000000,-0.034422,0.533476,0.952167,5.702000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.032929,1.250000,-0.006642,0.080894,1.116893,5.702000
0.000000,0.000000,0.000000,-0.152297,-0.543977,-0.183047,-0.094981,0.071146,-0.033047,-0.000000,0.556024,1.000000,-0.032952,0.539388,0.953108,5.704000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.032929,1.250000,-0.006642,0.080894,1.116893,5.704000
0.000000,0.000000,0.000000,-0.147311,-0.548049,-0.180788,-0.093219,0.072647,-0.032902,-0.000000,0.556024,1.000000,-0.032952,0.539388,0.953108,5.706000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.032929,1.250000,-0.006642,0.080894,1.116893,5.706000
0.000000,0.000000,0.000000,-0.145007,-0.551435,-0.185965,-0.091224,0.073989,-0.032753,-0.000000,0.556024,1.000000,-0.033005,0.539318,0.953103,5.708000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.032108,1.250000,-0.006693,0.081054,1.117055,5.708000
0.000000,0.000000,0.000000,-0.142052,-0.552854,-0.188418,-0.086816,0.073232,-0.032573,-0.000000,0.556085,1.000000,-0.033490,0.538674,0.953050,5.710000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.030022,1.250000,-0.006704,0.080151,1.117435,5.710000
0.000000,0.000000,0.000000,-0.139116,-0.560397,-0.167175,-0.074909,0.073217,-0.031875,-0.000000,0.558998,1.000000,-0.033290,0.539432,0.953168,5.712000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.030022,1.250000,-0.006491,0.077844,1.117380,5.712000
0.000000,0.000000,0.000000,-0.142058,-0.565375,-0.163609,-0.075820,0.066741,-0.030606,-0.000000,0.558998,1.000000,-0.031838,0.544926,0.954024,5.714000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.030022,1.250000,-0.006491,0.077844,1.117380,5.714000
0.000000,0.000000,0.000000,-0.149532,-0.560159,-0.186362,-0.073491,0.067586,-0.030494,-0.000000,0.558998,1.000000,-0.031927,0.544854,0.954022,5.716000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.030022,1.250000,-0.006491,0.077844,1.117380,5.716000
0.000000,0.000000,0.000000,-0.156485,-0.547805,-0.204247,-0.069732,0.066760,-0.030351,-0.000000,0.558998,1.000000,-0.032434,0.544450,0.954010,5.718000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.028796,1.250000,-0.006491,0.077844,1.117380,5.718000
0.000000,0.000000,0.000000,-0.158450,-0.530781,-0.201182,-0.065925,0.067637,-0.030209,-0.000000,0.559530,1.000000,-0.032434,0.544450,0.954010,5.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.027133,1.250000,-0.006458,0.076574,1.117260,5.720000
0.000000,0.000000,0.000000,-0.153931,-0.512936,-0.181550,-0.056183,0.066852,-0.029642,-0.000000,0.561957,1.000000,-0.032150,0.545470,0.954166,5.722000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.027133,1.250000,-0.006413,0.074834,1.117094,5.722000
0.000000,0.000000,0.000000,-0.145038,-0.494472,-0.176093,-0.057940,0.060422,-0.028369,-0.000000,0.561957,1.000000,-0.030732,0.550562,0.954947,5.724000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.027133,1.250000,-0.006413,0.074834,1.117094,5.724000
0.000000,0.000000,0.000000,-0.136436,-0.478837,-0.195155,-0.055043,0.060854,-0.028290,-0.000000,0.561957,1.000000,-0.030862,0.550402,0.954952,5.726000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.027133,1.250000,-0.006413,0.074834,1.117094,5.726000
0.000000,0.000000,0.000000,-0.130582,-0.470466,-0.199789,-0.050137,0.059697,-0.028181,-0.000000,0.561957,1.000000,-0.031383,0.549759,0.954972,5.728000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.025940,1.250000,-0.006537,0.074868,1.117074,5.728000
0.000000,0.000000,0.000000,-0.129880,-0.469198,-0.194857,-0.046686,0.060317,-0.028102,-0.000000,0.562338,1.000000,-0.031383,0.549759,0.954972,5.730000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.024258,1.250000,-0.006550,0.073186,1.117005,5.730000
0.000000,0.000000,0.000000,-0.135611,-0.474309,-0.191070,-0.036436,0.059036,-0.027590,-0.000000,0.564895,1.000000,-0.030996,0.551084,0.955174,5.732000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.024258,1.250000,-0.006373,0.071312,1.116961,5.732000
0.000000,0.000000,0.000000,-0.145310,-0.480277,-0.200014,-0.038597,0.053250,-0.026544,-0.000000,0.564895,1.000000,-0.029648,0.555699,0.955877,5.734000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.024258,1.250000,-0.006373,0.071312,1.116961,5.734000
0.000000,0.000000,0.000000,-0.154796,-0.486130,-0.198230,-0.035858,0.053948,-0.026510,-0.000000,0.564895,1.000000,-0.029648,0.555699,0.955877,5.736000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.024258,1.250000,-0.006373,0.071312,1.116961,5.736000
0.000000,0.000000,0.000000,-0.159245,-0.488300,-0.190732,-0.032842,0.053970,-0.026467,-0.000000,0.564895,1.000000,-0.029822,0.555609,0.955892,5.738000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.022728,1.250000,-0.006373,0.071312,1.116961,5.738000
0.000000,0.000000,0.000000,-0.155414,-0.482304,-0.198293,-0.026561,0.052399,-0.026386,-0.000000,0.565691,1.000000,-0.030341,0.555340,0.955939,5.740000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.021403,1.250000,-0.006078,0.069576,1.116931,5.740000
0.000000,0.000000,0.000000,-0.145619,-0.471953,-0.219526,-0.018663,0.050718,-0.025941,-0.000000,0.567821,1.000000,-0.029875,0.556874,0.956171,5.742000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.021403,1.250000,-0.005821,0.068067,1.116905,5.742000
0.000000,0.000000,0.000000,-0.136762,-0.466022,-0.229228,-0.021449,0.045454,-0.024933,-0.000000,0.567821,1.000000,-0.028588,0.561107,0.956813,5.744000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.021403,1.250000,-0.005821,0.068067,1.116905,5.744000
0.000000,0.000000,0.000000,-0.132867,-0.466871,-0.227085,-0.017919,0.044985,-0.024917,-0.000000,0.567821,1.000000,-0.028801,0.560940,0.956841,5.746000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.021403,1.250000,-0.005870,0.068322,1.116931,5.746000
0.000000,0.000000,0.000000,-0.130841,-0.467227,-0.244470,-0.013529,0.043278,-0.024877,-0.000000,0.567821,1.000000,-0.029312,0.560538,0.956908,5.748000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.019856,1.250000,-0.005912,0.068544,1.116954,5.748000
0.000000,0.000000,0.000000,-0.130186,-0.463432,-0.292157,-0.008640,0.043423,-0.024880,-0.000000,0.568482,1.000000,-0.029312,0.560538,0.956908,5.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.018562,1.250000,-0.005693,0.066401,1.116912,5.750000
