time,roll_rad,pitch_rad,yaw_rad,x,y,z
1.830813050,-0.160371974,-0.016960338,-0.012532013,0.547894,-0.401212,1.085679
1.840723038,-0.163180321,-0.020523189,-0.011841903,0.548584,-0.405996,1.086204
1.850640059,-0.165994748,-0.023873443,-0.011178908,0.558121,-0.406693,1.086681
1.860553980,-0.168884858,-0.026475759,-0.010433591,0.586356,-0.403217,1.087096
1.870453000,-0.170977771,-0.030743746,-0.009809070,0.587121,-0.406643,1.088885
1.880370021,-0.172987193,-0.034450341,-0.009086625,0.591111,-0.409870,1.089327
1.890275002,-0.175149977,-0.037172932,-0.008329202,0.610723,-0.407322,1.089711
1.900184035,-0.177141339,-0.041178811,-0.007755497,0.605806,-0.404970,1.090066
1.910112977,-0.179129392,-0.045049090,-0.007213198,0.603717,-0.402791,1.091158
1.920024037,-0.181265131,-0.047418274,-0.006325803,0.632482,-0.400181,1.091446
1.929924011,-0.183071092,-0.050831929,-0.005630464,0.639713,-0.403344,1.091709
1.939831018,-0.185415834,-0.054855451,-0.005120634,0.635275,-0.400753,1.091921
1.949751019,-0.187803030,-0.057443377,-0.004381028,0.655007,-0.398007,1.092295
1.959661007,-0.190110922,-0.060689770,-0.003724435,0.664180,-0.396812,1.092422
1.969575047,-0.192263559,-0.064095184,-0.003084057,0.674666,-0.394574,1.092500
1.979486942,-0.194293588,-0.066891499,-0.002412031,0.694224,-0.392532,1.092525
1.989400029,-0.195922256,-0.071143329,-0.002026435,0.688969,-0.394134,1.092512
1.999315023,-0.197371438,-0.074729890,-0.001717395,0.699324,-0.390733,1.094443
2.009216070,-0.198639318,-0.078514867,-0.001130286,0.709274,-0.387162,1.094435
2.019128084,-0.199832723,-0.083016030,-0.000672959,0.709473,-0.381057,1.094382
2.028990984,-0.200639710,-0.087606311,-0.000182813,0.712465,-0.378534,1.094289
2.038958073,-0.200935140,-0.091392890,0.000453236,0.733969,-0.376314,1.095079
2.048856974,-0.201016575,-0.096362740,0.000718351,0.731484,-0.374633,1.094952
2.058765888,-0.200948969,-0.100476302,0.001151607,0.738768,-0.370486,1.094770
2.068685055,-0.200327531,-0.104289852,0.001334098,0.743591,-0.369847,1.094546
2.078608990,-0.199481770,-0.107843094,0.001374471,0.746263,-0.366561,1.094268
2.088507891,-0.198325470,-0.110921033,0.001015301,0.749958,-0.361114,1.095941
2.098413944,-0.196841449,-0.113321908,0.000879368,0.756851,-0.364046,1.095684
2.108324051,-0.195722133,-0.115653768,0.000647219,0.758496,-0.358525,1.095363
2.118247032,-0.194595501,-0.117246829,0.000443780,0.763944,-0.352755,1.094994
2.128150940,-0.193551242,-0.118420333,0.000615244,0.769294,-0.352713,1.092095
2.138065100,-0.192393646,-0.118958287,0.000488186,0.776410,-0.346703,1.091497
2.147968054,-0.191599950,-0.118746042,0.000405301,0.790310,-0.337264,1.090779
2.157843113,-0.190584317,-0.118900314,0.000071745,0.794851,-0.334196,1.090085
2.167751074,-0.189862028,-0.118927069,-0.000223466,0.799084,-0.325579,1.089320
2.177709103,-0.189020842,-0.118906789,-0.000326659,0.806373,-0.317374,1.088536
2.187625885,-0.187257320,-0.119571991,-0.000628258,0.803960,-0.319155,1.087735
2.197531939,-0.185952052,-0.119910777,-0.000479361,0.813348,-0.303663,1.086872
2.207454920,-0.183286622,-0.121026181,-0.000532026,0.815942,-0.301173,1.086022
2.217315912,-0.180832922,-0.122409575,-0.000097672,0.820793,-0.295897,1.081524
2.227221966,-0.177600712,-0.123547189,0.000047404,0.829251,-0.285714,1.080434
2.237154007,-0.173706904,-0.124982998,0.000063819,0.834572,-0.279203,1.079344
2.247051001,-0.169128224,-0.126574799,-0.000148024,0.836957,-0.279302,1.078276
2.256963015,-0.164961249,-0.128048271,-0.000155696,0.839871,-0.264786,1.076634
2.266911030,-0.159677804,-0.129578739,-0.000511981,0.837330,-0.268038,1.075546
2.276829958,-0.154924378,-0.130346268,-0.000586076,0.844019,-0.259918,1.074439
2.286731005,-0.150545210,-0.131073013,-0.000572670,0.845338,-0.242813,1.073310
2.296641111,-0.144904524,-0.131460384,-0.000880246,0.846957,-0.249528,1.072260
2.306557894,-0.140286922,-0.131066278,-0.000908023,0.855640,-0.237971,1.071820
2.316469908,-0.135556802,-0.130761713,-0.001248120,0.855544,-0.229992,1.070817
2.326387882,-0.130401090,-0.129944548,-0.001601674,0.858905,-0.230369,1.069868
2.336296082,-0.126587138,-0.128510326,-0.001564760,0.868565,-0.209511,1.068909
2.346198082,-0.121970691,-0.127781600,-0.002051178,0.868247,-0.213086,1.064934
2.356123924,-0.117627233,-0.126471117,-0.002297289,0.874683,-0.204273,1.063901
2.366025925,-0.113653466,-0.125682458,-0.002589655,0.874985,-0.189720,1.062888
2.375931978,-0.109423384,-0.125098884,-0.002901022,0.875044,-0.178254,1.061921
2.385843992,-0.105197370,-0.124912456,-0.003349529,0.874063,-0.173076,1.058939
2.395760059,-0.100858413,-0.124466687,-0.003441857,0.882014,-0.161633,1.057934
2.405667067,-0.095949039,-0.125223055,-0.004148765,0.874737,-0.160088,1.056975
2.415589094,-0.090884253,-0.125663385,-0.004682723,0.876443,-0.155619,1.056063
2.425504923,-0.086351603,-0.126075715,-0.004959355,0.878336,-0.136614,1.055158
2.435404062,-0.080668837,-0.126449093,-0.005515784,0.882879,-0.136362,1.052564
2.445321083,-0.075144745,-0.126699746,-0.006018353,0.882543,-0.124132,1.051655
2.455224037,-0.069196917,-0.126541004,-0.006666353,0.882745,-0.118133,1.050803
2.465137959,-0.063015096,-0.125915930,-0.007325011,0.883718,-0.115008,1.050011
2.475055933,-0.057782240,-0.124759711,-0.007655479,0.885428,-0.096607,1.049143
2.484961033,-0.051546376,-0.122966714,-0.008331700,0.887910,-0.088990,1.048401
2.494877100,-0.045934968,-0.120978907,-0.008939775,0.890611,-0.084736,1.047801
2.504786968,-0.040797543,-0.118808493,-0.009516610,0.893069,-0.080003,1.047261
2.514702082,-0.037091944,-0.116797492,-0.009776830,0.893160,-0.056614,1.047209
2.524605989,-0.031988762,-0.114715278,-0.010552035,0.895288,-0.063034,1.046823
2.534527063,-0.028564749,-0.113363974,-0.010919640,0.891138,-0.042565,1.046443
2.544429064,-0.023646004,-0.112164691,-0.011670100,0.892108,-0.049082,1.046178
2.554358959,-0.019965027,-0.111487396,-0.011870396,0.892657,-0.031875,1.045937
2.564251900,-0.015458385,-0.111136660,-0.012069876,0.892792,-0.023491,1.047458
2.574178934,-0.010955700,-0.111197673,-0.012506886,0.892714,-0.018118,1.047444
2.584090948,-0.007398823,-0.111358687,-0.012707013,0.892695,-0.000099,1.047468
2.593988895,-0.003752370,-0.111368753,-0.012960541,0.895467,0.009261,1.047559
2.603907108,0.000406152,-0.111009598,-0.013120953,0.895934,0.013053,1.050133
2.613806963,0.004090129,-0.110868111,-0.013251348,0.896378,0.021718,1.050443
2.623718023,0.007822957,-0.110425189,-0.013148177,0.897351,0.038595,1.050786
2.633631945,0.012751667,-0.109815776,-0.013369089,0.898185,0.043012,1.051176
2.643560886,0.017347392,-0.109156199,-0.013228773,0.899219,0.058773,1.051565
2.653459072,0.022596834,-0.108579136,-0.013403257,0.897345,0.066257,1.052390
2.663367987,0.027567241,-0.107991204,-0.013509035,0.898080,0.074005,1.052836
2.673290014,0.032389402,-0.107567661,-0.013655252,0.898586,0.079418,1.053291
2.683188915,0.037240934,-0.107404329,-0.013880459,0.898705,0.081777,1.053760
2.693099976,0.041038629,-0.107761428,-0.013657102,0.898155,0.101458,1.054129
2.703016043,0.045939159,-0.108547874,-0.013886130,0.897053,0.103937,1.054593
2.712924957,0.050506990,-0.109624572,-0.014180756,0.895853,0.107324,1.055059
2.722841024,0.054070964,-0.111072354,-0.014363058,0.891562,0.117187,1.055513
2.732744932,0.056914639,-0.112236530,-0.014067381,0.892669,0.133720,1.057853
2.742655039,0.059791658,-0.113577425,-0.014100586,0.893801,0.141663,1.058406
2.752580881,0.063030280,-0.114944868,-0.014459956,0.892462,0.141221,1.058950
2.762478113,0.065257214,-0.116282605,-0.014350974,0.891089,0.157620,1.059468
2.772402048,0.068070553,-0.117496327,-0.014507567,0.890000,0.165364,1.059982
2.782299995,0.071707398,-0.118499771,-0.015003683,0.889164,0.162186,1.061471
2.792216063,0.073870301,-0.119532429,-0.014809946,0.885741,0.183959,1.062004
2.802128077,0.076963782,-0.120133735,-0.015061785,0.885354,0.189209,1.062522
2.812042952,0.080216527,-0.120752484,-0.015504488,0.884914,0.189151,1.063019
2.821944952,0.083527774,-0.121307947,-0.015784258,0.881627,0.193039,1.065563
2.831861973,0.085386269,-0.121850699,-0.015423478,0.881031,0.214940,1.066109
2.841777086,0.088660099,-0.122292660,-0.015731283,0.883317,0.215029,1.066636
2.851682901,0.091769174,-0.123099834,-0.016003454,0.882725,0.215398,1.067134
2.861603975,0.093377933,-0.124162816,-0.015607729,0.876614,0.237678,1.067590
2.871510029,0.096269988,-0.125353873,-0.015752479,0.875706,0.238254,1.067089
2.881421089,0.099208601,-0.126445740,-0.016292183,0.872483,0.233729,1.067425
2.891329050,0.100837007,-0.127722859,-0.016220709,0.866407,0.248539,1.067711
2.901243925,0.102658890,-0.128709421,-0.016313026,0.865568,0.258275,1.067965
2.911151886,0.104929566,-0.129782483,-0.017010646,0.858965,0.257564,1.071298
2.921062946,0.106762543,-0.131251782,-0.017378882,0.854963,0.262122,1.071648
2.930970907,0.108531028,-0.132758871,-0.017667806,0.851201,0.266685,1.071962
2.940891981,0.110320494,-0.133936927,-0.017950935,0.850426,0.271337,1.072243
2.950822115,0.111709282,-0.135082483,-0.018007085,0.844586,0.281509,1.073409
2.960726023,0.113153256,-0.135883197,-0.018081667,0.841160,0.288609,1.073660
2.970632076,0.114525795,-0.136194661,-0.018018838,0.836568,0.296508,1.073866
2.980540991,0.115749083,-0.135899723,-0.017936848,0.835268,0.299377,1.074032
2.990466118,0.116694190,-0.135139883,-0.017695922,0.834475,0.305140,1.074154
3.000350952,0.117581755,-0.134113356,-0.017394209,0.831494,0.313308,1.073661
3.010267973,0.119094439,-0.133235469,-0.017374631,0.823541,0.313531,1.073651
3.020190001,0.120841302,-0.131739929,-0.017295158,0.825293,0.313461,1.073618
3.030095100,0.123064213,-0.131086975,-0.017387595,0.819436,0.310364,1.073527
3.040005922,0.124131627,-0.130754456,-0.016964499,0.808145,0.326045,1.073132
3.049923897,0.126075059,-0.130061492,-0.017120095,0.804613,0.323541,1.072955
3.059823990,0.126870781,-0.129527733,-0.016613828,0.803086,0.334591,1.072756
3.069745064,0.128192425,-0.129637435,-0.016723540,0.796051,0.332890,1.072498
3.079652071,0.128777757,-0.129430369,-0.016532270,0.797384,0.336941,1.070874
3.089559078,0.128844365,-0.128835887,-0.016371420,0.796235,0.341445,1.070492
3.099473953,0.129181743,-0.128491804,-0.016372668,0.787737,0.340813,1.070063
3.109385967,0.128629863,-0.127907276,-0.015918931,0.779427,0.351011,1.069617
3.119312048,0.128692493,-0.126830772,-0.015819578,0.776630,0.350569,1.069149
3.129204988,0.128385037,-0.125629738,-0.015515607,0.771502,0.355480,1.068301
3.139112949,0.128379747,-0.124161020,-0.015242763,0.771469,0.357490,1.067784
3.149028063,0.128564149,-0.123135105,-0.014878554,0.761551,0.359301,1.067232
3.158941984,0.129188418,-0.121303529,-0.014581575,0.758746,0.358578,1.066628
3.168853045,0.129738465,-0.120624252,-0.013858158,0.746912,0.365123,1.063331
3.178761005,0.130745485,-0.118640646,-0.013623065,0.747467,0.363461,1.062627
3.188673973,0.131509215,-0.116683222,-0.013309682,0.750276,0.364787,1.061928
3.198594093,0.132185221,-0.115360722,-0.013022537,0.742880,0.366206,1.061200
3.208513975,0.132658735,-0.114302985,-0.012562818,0.730532,0.368093,1.060455
3.218415976,0.132726967,-0.112420619,-0.012126747,0.725888,0.370383,1.060629
3.228322983,0.132362574,-0.110913172,-0.011635183,0.719261,0.373644,1.059968
3.238239050,0.131917983,-0.109860197,-0.011153757,0.706799,0.374127,1.059301
3.248140097,0.131339148,-0.108431913,-0.010772779,0.699684,0.374642,1.058656
3.258060932,0.130661219,-0.106976688,-0.010300354,0.690372,0.375483,1.057338
3.267975092,0.129920155,-0.104645401,-0.009795253,0.691543,0.375811,1.056710
3.277875900,0.129474401,-0.102670446,-0.009059088,0.684360,0.378309,1.056102
3.287792921,0.129693925,-0.100737192,-0.008293414,0.668093,0.377481,1.055504
3.297700882,0.129907742,-0.097931668,-0.007511624,0.660600,0.379680,1.054959
