# phase_offset=0.000
time,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,thrust,tx,ty,tz,omega1,omega2,omega3,omega4,pos_error_x,pos_error_y,pos_error_z,vel_error_x,vel_error_y,vel_error_z
0.400000,0.001130,-0.001767,0.500000,0.011324,-0.017485,-0.000001,0.999971,0.006334,0.004198,0.000009,0.052290,0.036797,0.000179,0.001198,-0.001869,0.500000,0.011567,-0.017820,0.000000,0.264901,0.000000,0.000001,0.000000,26487.332031,26489.195312,26493.046875,26490.761719,-0.000067,0.000102,0.000000,-0.000243,0.000335,-0.000001
0.410000,0.001248,-0.001949,0.500000,0.012166,-0.018754,-0.000001,0.999969,0.006596,0.004383,0.000010,0.052489,0.037146,0.000193,0.001317,-0.002054,0.500000,0.012398,-0.019069,0.000000,0.264903,0.000000,0.000001,0.000000,26488.082031,26489.304688,26492.812500,26491.152344,-0.000070,0.000105,0.000000,-0.000232,0.000315,-0.000001
0.420000,0.001374,-0.002143,0.500000,0.013044,-0.020074,-0.000002,0.999966,0.006858,0.004569,0.000011,0.052627,0.037460,0.000209,0.001446,-0.002251,0.500000,0.013264,-0.020366,0.000000,0.264906,0.000000,0.000000,0.000000,26488.837891,26489.427734,26492.591797,26491.556641,-0.000072,0.000108,0.000000,-0.000220,0.000293,-0.000002
0.430000,0.001509,-0.002350,0.500000,0.013959,-0.021445,-0.000002,0.999963,0.007122,0.004757,0.000012,0.052704,0.037742,0.000224,0.001583,-0.002461,0.500000,0.014166,-0.021714,0.000000,0.264909,0.000000,0.000000,0.000000,26489.607422,26489.564453,26492.396484,26491.970703,-0.000074,0.000111,-0.000000,-0.000207,0.000269,-0.000002
0.440000,0.001653,-0.002572,0.500000,0.014911,-0.022869,-0.000003,0.999961,0.007385,0.004946,0.000013,0.052723,0.037991,0.000240,0.001729,-0.002685,0.500000,0.015103,-0.023112,0.000000,0.264912,-0.000000,0.000000,0.000000,26490.382812,26489.718750,26492.210938,26492.398438,-0.000076,0.000114,-0.000000,-0.000192,0.000243,-0.000003
0.450000,0.001807,-0.002808,0.500000,0.015900,-0.024344,-0.000003,0.999958,0.007649,0.005137,0.000014,0.052682,0.038206,0.000256,0.001885,-0.002924,0.500000,0.016077,-0.024559,0.000000,0.264915,-0.000000,0.000000,0.000000,26491.166016,26489.880859,26492.041016,26492.826172,-0.000078,0.000116,-0.000000,-0.000177,0.000216,-0.000003
0.460000,0.001971,-0.003059,0.500000,0.016927,-0.025870,-0.000004,0.999955,0.007912,0.005328,0.000016,0.052583,0.038389,0.000274,0.002051,-0.003177,0.500000,0.017087,-0.026057,0.000000,0.264918,-0.000000,0.000000,0.000000,26491.953125,26490.062500,26491.890625,26493.273438,-0.000080,0.000118,-0.000000,-0.000160,0.000187,-0.000004
0.470000,0.002146,-0.003325,0.500000,0.017991,-0.027449,-0.000005,0.999951,0.008174,0.005521,0.000017,0.052426,0.038540,0.000291,0.002227,-0.003445,0.500000,0.018134,-0.027605,0.000000,0.264921,-0.000000,0.000000,0.000000,26492.744141,26490.251953,26491.748047,26493.724609,-0.000081,0.000120,-0.000000,-0.000143,0.000156,-0.000005
0.480000,0.002331,-0.003608,0.500000,0.019094,-0.029078,-0.000005,0.999948,0.008436,0.005714,0.000019,0.052212,0.038658,0.000309,0.002414,-0.003729,0.500000,0.019218,-0.029203,0.000000,0.264925,-0.000000,0.000000,0.000000,26493.544922,26490.462891,26491.630859,26494.189453,-0.000082,0.000121,-0.000000,-0.000125,0.000125,-0.000005
0.490000,0.002528,-0.003907,0.500000,0.020234,-0.030759,-0.000006,0.999945,0.008696,0.005907,0.000021,0.051942,0.038745,0.000327,0.002611,-0.004029,0.500000,0.020339,-0.030851,0.000000,0.264928,-0.000001,0.000000,0.000000,26494.347656,26490.675781,26491.527344,26494.660156,-0.000084,0.000122,-0.000000,-0.000105,0.000092,-0.000006
0.500000,0.002736,-0.004223,0.500000,0.021412,-0.032491,-0.000007,0.999941,0.008955,0.006101,0.000023,0.051617,0.038801,0.000346,0.002821,-0.004346,0.500000,0.021497,-0.032549,0.000000,0.264932,-0.000001,0.000000,0.000000,26495.150391,26490.904297,26491.435547,26495.134766,-0.000084,0.000123,-0.000000,-0.000086,0.000058,-0.000007
0.510000,0.002956,-0.004557,0.500000,0.022628,-0.034274,-0.000008,0.999938,0.009212,0.006295,0.000025,0.051237,0.038826,0.000364,0.003041,-0.004680,0.500000,0.022693,-0.034296,0.000000,0.264935,-0.000001,-0.000000,0.000000,26495.960938,26491.152344,26491.359375,26495.621094,-0.000085,0.000123,-0.000000,-0.000065,0.000023,-0.000008
0.520000,0.003189,-0.004909,0.500000,0.023883,-0.036107,-0.000009,0.999934,0.009468,0.006489,0.000027,0.050803,0.038820,0.000383,0.003275,-0.005032,0.500000,0.023926,-0.036093,0.000000,0.264939,-0.000001,-0.000000,0.000000,26496.771484,26491.400391,26491.298828,26496.115234,-0.000086,0.000123,-0.000000,-0.000044,-0.000013,-0.000009
0.530000,0.003434,-0.005279,0.499999,0.025175,-0.037989,-0.000010,0.999931,0.009720,0.006683,0.000029,0.050315,0.038783,0.000402,0.003520,-0.005402,0.500000,0.025197,-0.037940,0.000000,0.264943,-0.000001,-0.000000,0.000000,26497.589844,26491.671875,26491.257812,26496.613281,-0.000086,0.000123,-0.000001,-0.000022,-0.000050,-0.000010
0.540000,0.003692,-0.005669,0.499999,0.026506,-0.039921,-0.000011,0.999927,0.009971,0.006877,0.000031,0.049776,0.038717,0.000422,0.003779,-0.005791,0.500000,0.026505,-0.039835,0.000000,0.264947,-0.000001,-0.000000,0.000000,26498.404297,26491.947266,26491.228516,26497.123047,-0.000086,0.000122,-0.000001,0.000000,-0.000087,-0.000011
0.550000,0.003964,-0.006078,0.499999,0.027874,-0.041902,-0.000012,0.999923,0.010218,0.007070,0.000033,0.049185,0.038622,0.000441,0.004050,-0.006199,0.500000,0.027851,-0.041778,0.000000,0.264951,-0.000001,-0.000000,0.000000,26499.220703,26492.236328,26491.212891,26497.634766,-0.000086,0.000121,-0.000001,0.000023,-0.000124,-0.000012
0.560000,0.004250,-0.006507,0.499999,0.029281,-0.043931,-0.000013,0.999919,0.010462,0.007263,0.000036,0.048543,0.038497,0.000461,0.004336,-0.006627,0.500000,0.029235,-0.043769,0.000000,0.264955,-0.000001,-0.000000,0.000000,26500.035156,26492.531250,26491.207031,26498.148438,-0.000086,0.000120,-0.000001,0.000046,-0.000162,-0.000013
0.570000,0.004550,-0.006957,0.499999,0.030725,-0.046008,-0.000015,0.999915,0.010703,0.007455,0.000039,0.047852,0.038343,0.000480,0.004635,-0.007075,0.500000,0.030656,-0.045808,0.000000,0.264959,-0.000001,-0.000000,0.000000,26500.857422,26492.841797,26491.220703,26498.673828,-0.000085,0.000118,-0.000001,0.000069,-0.000200,-0.000015
0.580000,0.004865,-0.007427,0.499999,0.032207,-0.048132,-0.000016,0.999911,0.010941,0.007646,0.000041,0.047112,0.038162,0.000499,0.004949,-0.007543,0.500000,0.032115,-0.047894,0.000000,0.264963,-0.000001,-0.000000,0.000000,26501.673828,26493.162109,26491.248047,26499.205078,-0.000084,0.000116,-0.000001,0.000092,-0.000238,-0.000016
0.590000,0.005194,-0.007920,0.499999,0.033726,-0.050302,-0.000017,0.999907,0.011174,0.007836,0.000044,0.046324,0.037952,0.000519,0.005278,-0.008033,0.500000,0.033611,-0.050026,0.000000,0.264967,-0.000001,-0.000000,0.000000,26502.484375,26493.484375,26491.277344,26499.730469,-0.000083,0.000113,-0.000001,0.000116,-0.000276,-0.000017
