time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust,gyro_x,gyro_y,gyro_z
1.950,0.7316136360168457,-0.02172551304101944,0.8485516905784607,0.4471932053565979,0.8774428367614746,0.06423993408679962,-1.0162944793701172,2.6560254096984863,-0.4118604063987732,0.000140274889417924,14.960062980651855,9.900226593017578,-0.2638479769229889
2.001,0.7511230707168579,0.01864350214600563,0.8578253388404846,0.4174611568450928,0.88050776720047,0.0801914632320404,-1.4636322259902954,3.931946277618408,-0.39622431993484497,0.0007042999495752156,-12.986159324645996,-21.485742568969727,-1.491446852684021
2.050,0.7657727599143982,0.05864423140883446,0.86624675989151,0.3883766531944275,0.8842975497245789,0.10952568799257278,-1.1802349090576172,5.227431297302246,-0.43151119351387024,0.0007642993004992604,0.6372706890106201,-31.40258026123047,-1.1955466270446777
2.100,0.773589015007019,0.09464709460735321,0.8753849864006042,0.35233262181282043,0.88716721534729,0.11559318006038666,-0.4161207377910614,5.726523399353027,-0.5021522641181946,3.126608862658031e-05,13.428913116455078,-12.575438499450684,0.8276669979095459
2.150,0.7821144461631775,0.13437557220458984,0.8822645545005798,0.2970781922340393,0.8827337622642517,0.11232306063175201,-0.3559377193450928,6.717370510101318,-0.5382757782936096,-8.891911420505494e-05,2.721343517303467,-13.230302810668945,0.026204027235507965
2.200,0.792104959487915,0.1679641455411911,0.8869684338569641,0.24235862493515015,0.8798263072967529,0.09049585461616516,-0.4641643166542053,8.670920372009277,-0.614264190196991,0.0005563237937167287,-5.453731536865234,-38.43579864501953,-1.134326696395874
2.251,0.7952256202697754,0.2130206674337387,0.8899481892585754,0.18321439623832703,0.8702363967895508,0.053210318088531494,0.123136967420578,9.804146766662598,-0.6788313984870911,0.0005405316478572786,5.726765155792236,-32.550357818603516,-1.2256604433059692
2.301,0.7965423464775085,0.24805936217308044,0.8909043073654175,0.10519289970397949,0.8753988742828369,0.017148766666650772,1.147007703781128,9.933815956115723,-0.8109849095344543,-5.044407953391783e-05,20.744470596313477,-3.6284291744232178,-2.102294445037842
2.351,0.7911049127578735,0.28659161925315857,0.8909239172935486,0.0068552070297300816,0.859578013420105,-0.01641525886952877,1.8559290170669556,10.329728126525879,-0.9702067375183105,0.00017054995987564325,15.580350875854492,-3.738590955734253,-2.7527894973754883
2.403,0.7814173102378845,0.31956884264945984,0.8900977969169617,-0.08327363431453705,0.8423134684562683,-0.029787270352244377,2.8366775512695312,10.47851848602295,-1.1229058504104614,0.0004966449341736734,15.592300415039062,-7.0616044998168945,-1.759972333908081
2.453,0.7721437811851501,0.3564629554748535,0.8854215741157532,-0.17808985710144043,0.8120309710502625,-0.03538810461759567,3.8078508377075195,9.543542861938477,-1.1882117986679077,1.8636312233866192e-05,19.4899845123291,16.59859275817871,-2.708939552307129
2.501,0.7523055672645569,0.3944459557533264,0.8790971040725708,-0.2638991177082062,0.7792537212371826,-0.055235203355550766,4.465197563171387,8.65347671508789,-1.220231533050537,-0.00012935760605614632,11.430980682373047,21.306459426879883,-2.3643980026245117
2.551,0.7377555966377258,0.4138166308403015,0.8770052194595337,-0.3373229503631592,0.7502027750015259,-0.06785416603088379,5.468008041381836,7.940893650054932,-1.3421738147735596,0.0002216819702880457,15.380069732666016,13.200445175170898,-2.2266082763671875
2.604,0.7109719514846802,0.44409406185150146,0.872975766658783,-0.40658605098724365,0.6867290139198303,-0.0486396960914135,6.1106438636779785,6.684558868408203,-1.3268977403640747,-0.0001327697973465547,16.988563537597656,22.030256271362305,-2.1838624477386475
2.652,0.6803018450737,0.45956936478614807,0.8659626245498657,-0.4826480746269226,0.6314383149147034,-0.03575189411640167,6.324755668640137,5.650054454803467,-1.3361302614212036,-0.0002602787280920893,3.837873935699463,25.17220115661621,-2.0802528858184814
2.700,0.6543806195259094,0.47349560260772705,0.8651362061500549,-0.5505407452583313,0.5560513734817505,-0.039491619914770126,6.439426422119141,5.1114630699157715,-1.3358725309371948,0.00012208541738800704,0.9528127312660217,13.406607627868652,-0.41881173849105835
2.749,0.6212912201881409,0.4951441287994385,0.8669557571411133,-0.5967927575111389,0.4833138883113861,-0.0100091602653265,6.321076393127441,4.255706310272217,-1.2096409797668457,3.0355038688867353e-05,-0.8277038335800171,13.720396041870117,1.365363597869873
2.802,0.5924878120422363,0.4930327534675598,0.8689345121383667,-0.6433095335960388,0.4238261580467224,0.022787751629948616,6.6016645431518555,3.461103677749634,-1.164501428604126,-0.00020503095583990216,1.0933094024658203,20.375268936157227,0.5682190656661987
2.849,0.5580703616142273,0.5018760561943054,0.8746349811553955,-0.6733095645904541,0.33962947130203247,0.04240886867046356,7.035086154937744,3.010216474533081,-1.0919123888015747,-2.1613246644847095e-05,12.109036445617676,7.345273017883301,0.9310517907142639
2.902,0.5274949073791504,0.5064296722412109,0.8762995004653931,-0.7012466788291931,0.27305328845977783,0.06481125205755234,6.79643440246582,2.6394407749176025,-1.0733082294464111,5.819331272505224e-05,-5.949285507202148,5.188275337219238,0.7391994595527649
2.951,0.4978586435317993,0.5067517757415771,0.8790007829666138,-0.7202490568161011,0.20407260954380035,0.049787141382694244,7.276554584503174,2.4545834064483643,-1.0555161237716675,-2.0943629351677373e-05,1.1688249111175537,4.866143226623535,0.7990803718566895
3.002,0.4625869393348694,0.5009798407554626,0.8830181956291199,-0.7328271865844727,0.13642644882202148,0.0370209626853466,8.638665199279785,2.266745090484619,-1.0610519647598267,6.746703729731962e-05,27.289386749267578,0.5551183819770813,-0.00667243916541338
3.051,0.4240543246269226,0.49585726857185364,0.885090172290802,-0.7510526180267334,0.05805737525224686,0.03507698327302933,8.970054626464844,1.8049730062484741,-0.9719933867454529,-3.0423125281231478e-05,15.287275314331055,8.575927734375,0.9958948493003845
3.101,0.3907616138458252,0.4872306287288666,0.8867024779319763,-0.7705919146537781,-0.023615410551428795,0.02178916707634926,8.809226989746094,1.2194712162017822,-0.8543993234634399,7.935638132039458e-05,-8.819257736206055,9.60831069946289,1.3719356060028076
3.149,0.35205572843551636,0.47558316588401794,0.8854883313179016,-0.777073860168457,-0.10400048643350601,0.010786052793264389,9.852608680725098,0.32481423020362854,-0.6765331625938416,1.885944584500976e-06,12.91757869720459,12.654544830322266,1.6342178583145142
3.201,0.3215905725955963,0.4642582833766937,0.8848037123680115,-0.7857233881950378,-0.1878875344991684,-0.006529432721436024,10.593783378601074,-0.4561154842376709,-0.48565369844436646,-0.00010691113857319579,21.36285972595215,19.315563201904297,1.3515747785568237
3.250,0.2892691195011139,0.43780383467674255,0.8850908279418945,-0.7731007933616638,-0.27610403299331665,-0.014888250268995762,9.780715942382812,-0.6650283336639404,-0.3707428574562073,0.0001301843294641003,-11.326608657836914,4.324464797973633,1.987931251525879
3.299,0.2624988555908203,0.4107564687728882,0.8840085864067078,-0.7607749104499817,-0.37809911370277405,-0.012942750006914139,9.650725364685059,-0.9892849922180176,-0.23884356021881104,8.495118527207524e-05,-13.008581161499023,4.871797561645508,2.207562208175659
3.349,0.23587073385715485,0.38803547620773315,0.8864187002182007,-0.7395418882369995,-0.46999505162239075,-0.011143136769533157,10.053378105163574,-1.3244540691375732,-0.11568909883499146,-0.00019297911785542965,12.35667896270752,9.049077033996582,1.9348392486572266
3.400,0.20669975876808167,0.34461328387260437,0.8848937749862671,-0.7160748243331909,-0.5501653552055359,0.007582318503409624,9.069504737854004,-1.1422864198684692,-0.08936858177185059,-0.00014766586537007242,-13.244792938232422,2.7497451305389404,1.0481212139129639
3.455,0.1802026331424713,0.306219220161438,0.8845367431640625,-0.6964772939682007,-0.6546201109886169,0.0009573409333825111,8.189138412475586,-0.7369083166122437,-0.09398138523101807,0.00018260061915498227,-24.282485961914062,-9.530845642089844,1.3914457559585571
3.501,0.1563398540019989,0.26273366808891296,0.8811705708503723,-0.677470862865448,-0.7348703145980835,0.002076077274978161,7.728311538696289,-0.6167137622833252,-0.1661667823791504,4.2117886778214597e-07,-6.182729244232178,-3.226017951965332,-1.0719550848007202
3.551,0.1333560049533844,0.22207404673099518,0.8801731467247009,-0.658531665802002,-0.8131771087646484,-0.013810905627906322,6.323885917663574,-0.32907676696777344,-0.2359926849603653,-0.00014117217506282032,-20.37479591369629,-1.8787238597869873,-0.25154685974121094
3.600,0.1109488233923912,0.18550410866737366,0.8798267841339111,-0.6411340236663818,-0.873572587966919,-0.013449201360344887,4.318668365478516,0.3970370590686798,-0.31877127289772034,6.904876499902457e-05,-38.827518463134766,-12.692429542541504,0.2557378113269806
3.649,0.08297420293092728,0.12851613759994507,0.8824862241744995,-0.6277668476104736,-0.9094445109367371,-0.005449037067592144,3.0255343914031982,1.1516255140304565,-0.38586610555648804,0.0002164680336136371,-32.31814193725586,-17.991344451904297,-0.7128497958183289
3.705,0.06216670945286751,0.08466542512178421,0.8823991417884827,-0.6297817230224609,-0.9551107883453369,0.01566275954246521,2.1211957931518555,1.5744776725769043,-0.4635758399963379,0.00014996154641266912,-17.282730102539062,-10.33664321899414,0.016907276585698128
3.749,0.04025008901953697,0.028501594439148903,0.8817206025123596,-0.6261544823646545,-0.9711195230484009,0.011681271716952324,0.9309732913970947,1.9511672258377075,-0.5299748778343201,5.834934927406721e-05,-20.92754554748535,-8.018195152282715,-0.7748953700065613
3.799,0.013452391140162945,-0.016307612881064415,0.8819060921669006,-0.6279232501983643,-0.9954366683959961,0.0029404398519545794,-0.9219548106193542,2.686067819595337,-0.5140764713287354,0.00019395517301745713,-33.93421173095703,-14.432599067687988,0.1927303820848465
3.852,-0.010088863782584667,-0.059270232915878296,0.8841983079910278,-0.640194833278656,-0.9901526570320129,0.0007900161435827613,-2.2691688537597656,3.1343882083892822,-0.48583826422691345,0.00030075639369897544,-29.936756134033203,-13.53320026397705,-0.6557264924049377
3.899,-0.031224805861711502,-0.10463457554578781,0.8862650990486145,-0.6525277495384216,-0.9673552513122559,0.01132385153323412,-2.810289144515991,3.110476493835449,-0.468841016292572,-1.7168937120004557e-05,-11.386758804321289,-3.217362403869629,0.7633164525032043
3.949,-0.05583687871694565,-0.1432214081287384,0.8888585567474365,-0.6625312566757202,-0.9421579837799072,0.01607654057443142,-3.6205670833587646,3.2872297763824463,-0.4247433543205261,-0.00018848430772777647,-9.881242752075195,-1.436071515083313,0.4410984218120575
3.998,-0.08998946845531464,-0.1903008669614792,0.8921095728874207,-0.6757820844650269,-0.9047197103500366,0.018192196264863014,-4.653879165649414,4.100761890411377,-0.32137054204940796,6.266635318752378e-05,-21.40519142150879,-14.394439697265625,0.2869900166988373
4.059,-0.11624310165643692,-0.220373272895813,0.8922001123428345,-0.7050188779830933,-0.8742327690124512,0.022739863023161888,-5.308908462524414,4.233534812927246,-0.3011484146118164,0.00020080989634152502,-15.574485778808594,-10.96306037902832,-0.2507150173187256
