t,ref_x,ref_y,ref_z,sim_x,sim_y,sim_z,ref_vx,ref_vy,ref_vz,sim_vx,sim_vy,sim_vz,ref_thrust,ref_tx,ref_ty,ref_tz,ref_yaw,ref_ox,ref_oy,ref_oz,cmd_thrust,cmd_tx,cmd_ty,cmd_tz
0.250000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199742,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000262,0.265050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265050,0.000000,0.000000,0.000000
0.255000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199740,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000229,0.265046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265046,0.000000,0.000000,0.000000
0.260000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199739,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000196,0.265043,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265043,0.000000,0.000000,0.000000
0.265000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199738,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000164,0.265040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265040,0.000000,0.000000,0.000000
0.270000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199738,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000133,0.265036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265036,0.000000,0.000000,0.000000
0.275000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199737,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000102,0.265033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265033,0.000000,0.000000,0.000000
0.280000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199737,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000072,0.265029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265029,0.000000,0.000000,0.000000
0.285000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199736,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000043,0.265026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265026,0.000000,0.000000,0.000000
0.290000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199736,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000014,0.265022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265022,0.000000,0.000000,0.000000
0.295000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199736,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,0.265019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265019,0.000000,0.000000,0.000000
0.300000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199736,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000042,0.265016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265016,0.000000,0.000000,0.000000
0.305000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199737,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000069,0.265012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265012,0.000000,0.000000,0.000000
0.310000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199737,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000095,0.265009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265009,0.000000,0.000000,0.000000
0.315000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199738,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000121,0.265006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265006,0.000000,0.000000,0.000000
0.320000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199738,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000146,0.265003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265003,0.000000,0.000000,0.000000
0.325000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199739,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000171,0.265000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265000,0.000000,0.000000,0.000000
0.330000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199740,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000195,0.264997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264997,0.000000,0.000000,0.000000
0.335000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199741,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000219,0.264994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264994,0.000000,0.000000,0.000000
0.340000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199742,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000242,0.264992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264992,0.000000,0.000000,0.000000
0.345000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199743,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000264,0.264989,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264989,0.000000,0.000000,0.000000
0.350000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199745,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000286,0.264986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264986,0.000000,0.000000,0.000000
0.355000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199746,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000308,0.264984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264984,0.000000,0.000000,0.000000
0.360000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199748,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000329,0.264982,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264982,0.000000,0.000000,0.000000
0.365000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199750,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000350,0.264979,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264979,0.000000,0.000000,0.000000
0.370000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199751,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000370,0.264977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264977,0.000000,0.000000,0.000000
0.375000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199753,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000390,0.264975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264975,0.000000,0.000000,0.000000
0.380000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199755,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000409,0.264973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264973,0.000000,0.000000,0.000000
0.385000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199757,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000428,0.264971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264971,0.000000,0.000000,0.000000
0.390000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199760,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000447,0.264969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264969,0.000000,0.000000,0.000000
0.395000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199762,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000465,0.264967,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264967,0.000000,0.000000,0.000000
0.400000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199764,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000483,0.264965,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264965,0.000000,0.000000,0.000000
0.405000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199767,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000501,0.264963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264963,0.000000,0.000000,0.000000
0.410000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199769,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000518,0.264962,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264962,0.000000,0.000000,0.000000
0.415000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199772,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000535,0.264960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264960,0.000000,0.000000,0.000000
0.420000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199775,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000552,0.264958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264958,0.000000,0.000000,0.000000
0.425000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199777,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000568,0.264957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264957,0.000000,0.000000,0.000000
0.430000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199780,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000584,0.264955,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264955,0.000000,0.000000,0.000000
0.435000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199783,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000600,0.264953,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264953,0.000000,0.000000,0.000000
0.440000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199786,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000615,0.264952,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264952,0.000000,0.000000,0.000000
0.445000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199789,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000630,0.264950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264950,0.000000,0.000000,0.000000
0.450000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199793,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000645,0.264949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264949,0.000000,0.000000,0.000000
0.455000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199796,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000660,0.264947,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264947,0.000000,0.000000,0.000000
0.460000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199799,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000674,0.264946,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264946,0.000000,0.000000,0.000000
0.465000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199803,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000688,0.264944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264944,0.000000,0.000000,0.000000
0.470000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199806,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000702,0.264943,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264943,0.000000,0.000000,0.000000
0.475000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199810,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000715,0.264941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264941,0.000000,0.000000,0.000000
0.480000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199813,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000729,0.264940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264940,0.000000,0.000000,0.000000
0.485000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199817,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000742,0.264939,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264939,0.000000,0.000000,0.000000
0.490000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199821,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000754,0.264937,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264937,0.000000,0.000000,0.000000
0.495000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199824,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000767,0.264936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264936,0.000000,0.000000,0.000000
0.500000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199828,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000779,0.264934,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264934,0.000000,0.000000,0.000000
0.505000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199832,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000791,0.264933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264933,0.000000,0.000000,0.000000
0.510000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199836,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000802,0.264931,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264931,0.000000,0.000000,0.000000
0.515000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199840,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000814,0.264930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264930,0.000000,0.000000,0.000000
0.520000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199844,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000825,0.264928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264928,0.000000,0.000000,0.000000
0.525000,0.000000,0.000000,0.200000,0.000000,0.000000,0.199848,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000836,0.264927,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264927,0.000000,0.000000,0.000000
