time,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,thrust,tx,ty,tz,omega1,omega2,omega3,omega4,pos_error_x,pos_error_y,pos_error_z,vel_error_x,vel_error_y,vel_error_z
0.360000,0.299612,0.067861,0.300077,-0.002846,0.188521,0.000548,0.705806,-0.000163,-0.000158,0.708405,-0.194530,0.004668,1.475526,0.292358,0.067281,0.300000,-0.042274,0.183694,0.000000,0.264944,-0.000007,0.000004,0.000069,26677.271484,26287.751953,26658.466797,26354.119141,0.007254,0.000579,0.000077,0.039429,0.004827,0.000548
0.370000,0.299583,0.069746,0.300083,-0.002986,0.188523,0.000575,0.705753,-0.000170,-0.000165,0.708458,-0.198654,0.004879,1.499452,0.291930,0.069117,0.300000,-0.043427,0.183425,0.000000,0.264946,-0.000007,0.000004,0.000069,26676.890625,26287.753906,26658.656250,26355.238281,0.007653,0.000629,0.000083,0.040441,0.005098,0.000575
0.380000,0.299553,0.071631,0.300089,-0.003131,0.188525,0.000604,0.705700,-0.000177,-0.000172,0.708511,-0.202808,0.005093,1.523334,0.291490,0.070950,0.300000,-0.044579,0.183148,0.000000,0.264949,-0.000007,0.000004,0.000069,26676.503906,26287.750000,26658.855469,26356.375000,0.008063,0.000681,0.000089,0.041448,0.005377,0.000604
0.390000,0.299521,0.073516,0.300095,-0.003279,0.188527,0.000633,0.705645,-0.000185,-0.000179,0.708565,-0.206991,0.005311,1.547169,0.291038,0.072780,0.300000,-0.045729,0.182865,0.000000,0.264951,-0.000007,0.000004,0.000069,26676.099609,26287.748047,26659.068359,26357.521484,0.008483,0.000737,0.000095,0.042449,0.005663,0.000633
0.400000,0.299487,0.075402,0.300101,-0.003432,0.188530,0.000663,0.705590,-0.000192,-0.000186,0.708620,-0.211203,0.005533,1.570959,0.290575,0.074607,0.300000,-0.046877,0.182574,0.000000,0.264953,-0.000007,0.000004,0.000069,26675.681641,26287.751953,26659.283203,26358.681641,0.008912,0.000795,0.000101,0.043445,0.005956,0.000663
0.410000,0.299452,0.077287,0.300108,-0.003589,0.188532,0.000693,0.705534,-0.000200,-0.000193,0.708676,-0.215443,0.005758,1.594701,0.290100,0.076431,0.300000,-0.048023,0.182276,0.000000,0.264956,-0.000007,0.000005,0.000069,26675.250000,26287.757812,26659.511719,26359.855469,0.009352,0.000856,0.000108,0.044434,0.006256,0.000693
0.420000,0.299416,0.079172,0.300115,-0.003750,0.188535,0.000725,0.705477,-0.000208,-0.000201,0.708733,-0.219711,0.005986,1.618396,0.289615,0.078252,0.300000,-0.049167,0.181970,0.000000,0.264958,-0.000007,0.000005,0.000069,26674.804688,26287.781250,26659.746094,26361.058594,0.009801,0.000920,0.000115,0.045417,0.006564,0.000725
0.430000,0.299378,0.081058,0.300123,-0.003915,0.188537,0.000758,0.705419,-0.000216,-0.000209,0.708790,-0.224007,0.006218,1.642041,0.289117,0.080071,0.300000,-0.050310,0.181658,0.000000,0.264961,-0.000007,0.000005,0.000068,26674.339844,26287.800781,26659.984375,26362.265625,0.010261,0.000987,0.000123,0.046395,0.006880,0.000758
0.440000,0.299338,0.082943,0.300130,-0.004085,0.188540,0.000791,0.705361,-0.000224,-0.000216,0.708849,-0.228330,0.006453,1.665636,0.288608,0.081886,0.300000,-0.051450,0.181338,0.000000,0.264964,-0.000007,0.000005,0.000068,26673.869141,26287.826172,26660.244141,26363.490234,0.010730,0.001057,0.000130,0.047365,0.007202,0.000791
0.450000,0.299296,0.084828,0.300139,-0.004259,0.188543,0.000826,0.705301,-0.000232,-0.000224,0.708908,-0.232679,0.006691,1.689181,0.288088,0.083697,0.300000,-0.052589,0.181011,0.000000,0.264966,-0.000007,0.000005,0.000068,26673.384766,26287.853516,26660.501953,26364.728516,0.011208,0.001131,0.000138,0.048330,0.007532,0.000826
