t,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,yaw,yaw_dot,yaw_ddot,thrust,tx,ty,tz,ox,oy,oz,odx,ody,odz
0.031000,0.000000,0.000000,1.000000,0.000055,0.000021,0.000006,0.007030,0.002725,0.000703,0.659743,0.256129,0.065974,0.000000,0.000012,0.001576,0.264889,-0.000257,0.000661,0.000005,-0.256110,0.659695,0.000196,-15.524909,39.863651,0.181603
0.032000,0.000000,0.000000,1.000000,0.000063,0.000024,0.000006,0.007709,0.002989,0.000771,0.700216,0.271894,0.070022,0.000000,0.000014,0.001728,0.264891,-0.000264,0.000678,0.000006,-0.271872,0.700161,0.000227,-15.928531,40.887249,0.204539
0.033000,0.000000,0.000000,1.000000,0.000071,0.000027,0.000007,0.008430,0.003269,0.000843,0.741716,0.288064,0.074172,0.000000,0.000016,0.001890,0.264893,-0.000271,0.000694,0.000007,-0.288039,0.741652,0.000263,-16.326195,41.894829,0.229474
0.034000,0.000001,0.000000,1.000000,0.000080,0.000031,0.000008,0.009193,0.003565,0.000919,0.784230,0.304634,0.078423,0.000000,0.000018,0.002061,0.264895,-0.000277,0.000711,0.000008,-0.304605,0.784156,0.000303,-16.717918,42.886429,0.256504
0.035000,0.000001,0.000000,1.000000,0.000089,0.000035,0.000009,0.009999,0.003878,0.001000,0.827741,0.321598,0.082774,0.000000,0.000020,0.002242,0.264897,-0.000283,0.000727,0.000008,-0.321565,0.827656,0.000347,-17.103683,43.862057,0.285726
0.036000,0.000001,0.000000,1.000000,0.000100,0.000039,0.000010,0.010849,0.004209,0.001085,0.872235,0.338951,0.087224,0.000000,0.000022,0.002433,0.264899,-0.000290,0.000743,0.000009,-0.338913,0.872138,0.000396,-17.483519,44.821747,0.317239
0.037000,0.000001,0.000000,1.000000,0.000111,0.000043,0.000011,0.011744,0.004556,0.001174,0.917697,0.356688,0.091770,0.000000,0.000025,0.002634,0.264902,-0.000296,0.000758,0.000010,-0.356644,0.917587,0.000451,-17.857414,45.765511,0.351140
0.038000,0.000001,0.000000,1.000000,0.000123,0.000048,0.000012,0.012685,0.004922,0.001268,0.964113,0.374802,0.096411,0.000000,0.000028,0.002846,0.264905,-0.000302,0.000774,0.000011,-0.374753,0.963988,0.000511,-18.225389,46.693386,0.387528
0.039000,0.000001,0.000000,1.000000,0.000136,0.000053,0.000014,0.013672,0.005306,0.001367,1.011468,0.393289,0.101147,0.000000,0.000031,0.003068,0.264907,-0.000308,0.000789,0.000012,-0.393233,1.011327,0.000578,-18.587433,47.605385,0.426500
0.040000,0.000001,0.000000,1.000000,0.000151,0.000058,0.000015,0.014708,0.005709,0.001471,1.059748,0.412143,0.105975,0.000000,0.000034,0.003300,0.264910,-0.000314,0.000804,0.000014,-0.412080,1.059588,0.000650,-18.943558,48.501526,0.468156
0.041000,0.000001,0.000001,1.000000,0.000166,0.000064,0.000017,0.015792,0.006131,0.001579,1.108938,0.431359,0.110894,0.000000,0.000037,0.003544,0.264913,-0.000320,0.000818,0.000015,-0.431288,1.108758,0.000730,-19.293762,49.381840,0.512594
0.042000,0.000002,0.000001,1.000000,0.000182,0.000071,0.000018,0.016926,0.006572,0.001693,1.159023,0.450932,0.115902,0.000000,0.000041,0.003799,0.264916,-0.000325,0.000833,0.000016,-0.450852,1.158822,0.000817,-19.638046,50.246315,0.559910
0.043000,0.000002,0.000001,1.000000,0.000200,0.000077,0.000020,0.018111,0.007032,0.001811,1.209990,0.470856,0.120999,0.000000,0.000045,0.004065,0.264919,-0.000331,0.000847,0.000018,-0.470767,1.209765,0.000912,-19.976418,51.094990,0.610204
0.044000,0.000002,0.000001,1.000000,0.000218,0.000085,0.000022,0.019346,0.007513,0.001935,1.261825,0.491125,0.126183,0.000000,0.000049,0.004343,0.264923,-0.000337,0.000861,0.000019,-0.491026,1.261574,0.001015,-20.308882,51.927883,0.663573
