time,roll_rad,pitch_rad,yaw_rad,x,y,z
0.100120999,-0.034251794,0.001985053,-0.025252160,-0.003935,0.011458,1.079174
0.101115003,-0.034029990,0.001978176,-0.025253674,-0.003982,0.011611,1.079157
0.102104999,-0.033804521,0.001972399,-0.025256567,-0.004028,0.011764,1.079141
0.103139997,-0.033582203,0.001966764,-0.025261614,-0.004077,0.011924,1.079124
0.104084000,-0.033351682,0.001960265,-0.025269974,-0.004121,0.012072,1.079108
0.105076000,-0.035833750,0.000362383,-0.025289381,-0.004902,0.013531,1.079028
0.106068999,-0.035614397,0.000355167,-0.025301317,-0.004967,0.013721,1.079010
0.107059002,-0.035393387,0.000344508,-0.025312867,-0.005032,0.013911,1.078991
0.108101003,-0.035167813,0.000333116,-0.025323186,-0.005100,0.014111,1.078971
0.109040998,-0.034925785,0.000321906,-0.025332358,-0.005161,0.014293,1.078952
0.110031001,-0.034704495,0.000312004,-0.025339290,-0.005226,0.014484,1.078933
0.111020997,-0.034468111,0.000304299,-0.025346272,-0.005290,0.014676,1.078914
0.112012997,-0.034230620,0.000300273,-0.025354020,-0.005354,0.014869,1.078894
0.113054000,-0.033993416,0.000297032,-0.025363000,-0.005422,0.015071,1.078873
0.113996997,-0.033744320,0.000295579,-0.025373733,-0.005483,0.015255,1.078854
0.114993997,-0.036071163,0.000995164,-0.025387634,-0.005172,0.016698,1.078770
0.115978003,-0.035833016,0.001003414,-0.025398875,-0.005226,0.016921,1.078748
0.116968997,-0.035595670,0.001015805,-0.025409315,-0.005280,0.017146,1.078726
0.118005998,-0.035352826,0.001034186,-0.025419237,-0.005337,0.017382,1.078702
0.118950002,-0.035095945,0.001057042,-0.025429359,-0.005388,0.017597,1.078681
0.119941004,-0.034859765,0.001079571,-0.025438739,-0.005442,0.017823,1.078658
0.120931998,-0.034609340,0.001107539,-0.025449023,-0.005496,0.018050,1.078635
0.121928997,-0.034357365,0.001138330,-0.025459221,-0.005550,0.018278,1.078612
0.122962996,-0.034101419,0.001168199,-0.025468817,-0.005606,0.018515,1.078588
0.123910002,-0.033831794,0.001199311,-0.025478482,-0.005657,0.018733,1.078566
0.124899998,-0.038365349,-0.000543953,-0.025487276,-0.006554,0.021426,1.078387
0.125892997,-0.038103711,-0.000512335,-0.025498418,-0.006627,0.021713,1.078359
0.126888007,-0.037841015,-0.000477159,-0.025511129,-0.006701,0.022001,1.078330
0.127926007,-0.037364658,-0.000438298,-0.025525022,-0.006773,0.022364,1.079919
0.128865004,-0.037091326,-0.000393235,-0.025540275,-0.006842,0.022637,1.079903
0.129853994,-0.036844328,-0.000350939,-0.025554424,-0.006914,0.022926,1.079887
0.130848005,-0.036583785,-0.000302684,-0.025570070,-0.006986,0.023216,1.079870
0.131836995,-0.036321729,-0.000252838,-0.025586298,-0.007058,0.023505,1.079854
0.132872999,-0.036059700,-0.000203256,-0.025602480,-0.007133,0.023808,1.079836
0.133818001,-0.035781290,-0.000148615,-0.025619349,-0.007202,0.024085,1.079820
0.134809002,-0.039927311,0.000810538,-0.025639631,-0.006731,0.026676,1.079716
0.135802001,-0.039652057,0.000865692,-0.025652861,-0.006791,0.027020,1.079695
0.136794001,-0.039372757,0.000925171,-0.025663704,-0.006851,0.027364,1.079674
0.137831002,-0.039091252,0.000989027,-0.025672827,-0.006913,0.027724,1.079652
0.138772994,-0.038796246,0.001057032,-0.025681067,-0.006969,0.028052,1.079631
0.139769003,-0.038528699,0.001121101,-0.025687637,-0.007029,0.028399,1.079610
0.140754998,-0.038247406,0.001192663,-0.025693595,-0.007088,0.028743,1.079588
0.141746998,-0.037972786,0.001264178,-0.025698306,-0.007147,0.029089,1.079566
0.142785996,-0.037702002,0.001335650,-0.025702676,-0.007209,0.029452,1.079543
0.143733993,-0.037424009,0.001410811,-0.025708022,-0.007265,0.029784,1.079522
0.144730002,-0.041068505,-0.000351857,-0.025707785,-0.008272,0.032292,1.079298
