time_s,cmd,imu_z,height,delta_x,delta_y,squal,vx,vy,motor_m1,motor_m2,motor_m3,motor_m4
2.550119,0.037440,,,,,,,,,,,
2.560108,0.037680,,,,,,,,,,,
2.570107,0.037920,,,,,,,,,,,
2.580116,0.038160,,,,,,,,,,,
2.590185,0.038400,,,,,,,,,,,
2.600113,0.038640,,,,,,,,,,,
2.610226,0.038880,,,,,,,,,,,
2.620107,0.039120,,,,,,,,,,,
2.630111,0.039360,,,,,,,,,,,
2.640097,0.039600,,,,,,,,,,,
2.650129,0.039840,,,,,,,,,,,
2.660100,0.040080,,,,,,,,,,,
2.670123,0.040320,,,,,,,,,,,
2.680113,0.040560,,,,,,,,,,,
2.690112,0.040800,,,,,,,,,,,
2.700145,0.041040,,,,,,,,,,,
2.710146,0.041280,,,,,,,,,,,
2.720173,0.041520,,,,,,,,,,,
2.730137,0.041760,,,,,,,,,,,
2.740100,0.042000,,,,,,,,,,,
2.750103,0.042240,,,,,,,,,,,
2.760144,0.042480,,,,,,,,,,,
2.770104,0.042720,,,,,,,,,,,
2.780126,0.042960,,,,,,,,,,,
2.790102,0.043200,,,,,,,,,,,
2.800135,0.043440,,,,,,,,,,,
2.810137,0.043680,,,,,,,,,,,
2.820193,0.043920,,,,,,,,,,,
2.830116,0.044160,,,,,,,,,,,
2.840142,0.044400,,,,,,,,,,,
2.850404,0.044640,,,,,,,,,,,
2.860116,0.044880,,,,,,,,,,,
2.870120,0.045120,,,,,,,,,,,
2.880162,0.045360,,,,,,,,,,,
2.890136,0.045600,,,,,,,,,,,
2.900116,0.045840,,,,,,,,,,,
2.910143,0.046080,,,,,,,,,,,
2.920152,0.046320,,,,,,,,,,,
2.930103,0.046560,,,,,,,,,,,
2.940106,0.046800,,,,,,,,,,,
2.950277,0.047040,,,,,,,,,,,
2.960134,0.047280,,,,,,,,,,,
2.970166,0.047520,,,,,,,,,,,
2.980123,0.047760,,,,,,,,,,,
2.990125,0.048000,,,,,,,,,,,
3.000137,0.048240,,,,,,,,,,,
3.010118,0.048480,,,,,,,,,,,
3.020141,0.048720,,,,,,,,,,,
3.030193,0.048960,,,,,,,,,,,
3.040129,0.049200,,,,,,,,,,,
3.050128,0.049440,,,,,,,,,,,
3.060143,0.049680,,,,,,,,,,,
3.070129,0.049920,,,,,,,,,,,
3.080086,0.050160,,,,,,,,,,,
3.090099,0.050400,,,,,,,,,,,
3.100094,0.050640,,,,,,,,,,,
3.110097,0.050880,,,,,,,,,,,
3.120180,0.051120,,,,,,,,,,,
3.130117,0.051360,,,,,,,,,,,
3.140155,0.051600,,,,,,,,,,,
3.150099,0.051840,,,,,,,,,,,
3.160088,0.052080,,,,,,,,,,,
3.170118,0.052320,,,,,,,,,,,
3.180082,0.052560,,,,,,,,,,,
3.190092,0.052800,,,,,,,,,,,
3.200085,0.053040,,,,,,,,,,,
3.210087,0.053280,,,,,,,,,,,
3.220179,0.053520,,,,,,,,,,,
3.230109,0.053760,,,,,,,,,,,
3.240126,0.054000,,,,,,,,,,,
3.250246,0.054240,,,,,,,,,,,
3.260085,0.054480,,,,,,,,,,,
3.270097,0.054720,,,,,,,,,,,
3.280082,0.054960,,,,,,,,,,,
3.290098,0.055200,,,,,,,,,,,
3.300100,0.055440,,,,,,,,,,,
3.310134,0.055680,,,,,,,,,,,
3.320111,0.055920,,,,,,,,,,,
3.330144,0.056160,,,,,,,,,,,
3.340095,0.056400,,,,,,,,,,,
3.350122,0.056640,,,,,,,,,,,
3.360137,0.056880,,,,,,,,,,,
3.370134,0.057120,,,,,,,,,,,
3.380201,0.057360,,,,,,,,,,,
3.390116,0.057600,,,,,,,,,,,
3.400124,0.057840,,,,,,,,,,,
3.410102,0.058080,,,,,,,,,,,
3.420134,0.058320,,,,,,,,,,,
3.430167,0.058560,,,,,,,,,,,
3.440099,0.058800,,,,,,,,,,,
3.450124,0.059040,,,,,,,,,,,
3.460141,0.059280,,,,,,,,,,,
3.470121,0.059520,,,,,,,,,,,
3.480085,0.059760,,,,,,,,,,,
3.490087,0.060000,,,,,,,,,,,
3.500083,0.060240,,,,,,,,,,,
3.510162,0.060480,,,,,,,,,,,
3.520118,0.060720,,,,,,,,,,,
3.530167,0.060960,,,,,,,,,,,
3.540135,0.061200,,,,,,,,,,,
3.550123,0.061440,,,,,,,,,,,
3.560128,0.061680,,,,,,,,,,,
3.570120,0.061920,,,,,,,,,,,
3.580146,0.062160,,,,,,,,,,,
3.590116,0.062400,,,,,,,,,,,
3.600193,0.062640,,,,,,,,,,,
3.610094,0.062880,,,,,,,,,,,
3.620138,0.063120,,,,,,,,,,,
3.630082,0.063360,,,,,,,,,,,
3.640110,0.063600,,,,,,,,,,,
3.650086,0.063840,,,,,,,,,,,
3.660104,0.064080,,,,,,,,,,,
3.670115,0.064320,,,,,,,,,,,
3.680086,0.064560,,,,,,,,,,,
3.690089,0.064800,,,,,,,,,,,
3.700079,0.065040,,,,,,,,,,,
3.710091,0.065280,,,,,,,,,,,
3.720102,0.065520,,,,,,,,,,,
3.730090,0.065760,,,,,,,,,,,
3.740105,0.066000,,,,,,,,,,,
3.750089,0.066240,,,,,,,,,,,
3.760118,0.066480,,,,,,,,,,,
3.770120,0.066720,,,,,,,,,,,
3.780126,0.066960,,,,,,,,,,,
3.790111,0.067200,,,,,,,,,,,
3.800197,0.067440,,,,,,,,,,,
3.810112,0.067680,,,,,,,,,,,
3.820137,0.067920,,,,,,,,,,,
3.830105,0.068160,,,,,,,,,,,
3.840105,0.068400,,,,,,,,,,,
3.850135,0.068640,,,,,,,,,,,
3.860135,0.068880,,,,,,,,,,,
3.870209,0.069120,,,,,,,,,,,
3.880137,0.069360,,,,,,,,,,,
3.890099,0.069600,,,,,,,,,,,
3.900161,0.069840,,,,,,,,,,,
3.910203,0.070080,,,,,,,,,,,
3.920164,0.070320,,,,,,,,,,,
3.930126,0.070560,,,,,,,,,,,
3.940098,0.070800,,,,,,,,,,,
3.950133,0.071040,,,,,,,,,,,
3.960141,0.071280,,,,,,,,,,,
3.970172,0.071520,,,,,,,,,,,
3.980143,0.071760,,,,,,,,,,,
3.990177,0.072000,,,,,,,,,,,
4.000167,0.072240,,,,,,,,,,,
4.010127,0.072480,,,,,,,,,,,
4.020180,0.072720,,,,,,,,,,,
4.030134,0.072960,,,,,,,,,,,
4.040114,0.073200,,,,,,,,,,,
4.050106,0.073440,,,,,,,,,,,
4.060136,0.073680,,,,,,,,,,,
4.070188,0.073920,,,,,,,,,,,
4.080626,0.074160,,,,,,,,,,,
4.090188,0.074400,,,,,,,,,,,
4.100161,0.074640,,,,,,,,,,,
4.110129,0.074880,,,,,,,,,,,
4.120175,0.075120,,,,,,,,,,,
4.130155,0.075360,,,,,,,,,,,
4.140133,0.075600,,,,,,,,,,,
4.150135,0.075840,,,,,,,,,,,
4.160186,0.076080,,,,,,,,,,,
4.170142,0.076320,,,,,,,,,,,
4.180139,0.076560,,,,,,,,,,,
4.190145,0.076800,,,,,,,,,,,
4.200161,0.077040,,,,,,,,,,,
4.210169,0.077280,,,,,,,,,,,
4.220169,0.077520,,,,,,,,,,,
4.230148,0.077760,,,,,,,,,,,
4.240337,0.078000,,,,,,,,,,,
4.250190,0.078240,,,,,,,,,,,
4.260146,0.078480,,,,,,,,,,,
4.270149,0.078720,,,,,,,,,,,
4.280385,0.078960,,,,,,,,,,,
4.290143,0.079200,,,,,,,,,,,
4.300125,0.079440,,,,,,,,,,,
4.310161,0.079680,,,,,,,,,,,
4.320188,0.079920,,,,,,,,,,,
4.330196,0.080160,,,,,,,,,,,
4.340170,0.080400,,,,,,,,,,,
4.350120,0.080640,,,,,,,,,,,
4.360168,0.080880,,,,,,,,,,,
4.370149,0.081120,,,,,,,,,,,
4.380136,0.081360,,,,,,,,,,,
4.390134,0.081600,,,,,,,,,,,
4.400116,0.081840,,,,,,,,,,,
4.410142,0.082080,,,,,,,,,,,
4.420130,0.082320,,,,,,,,,,,
4.430149,0.082560,,,,,,,,,,,
4.440163,0.082800,,,,,,,,,,,
4.450334,0.083040,,,,,,,,,,,
4.460235,0.083280,,,,,,,,,,,
