t_unix,rpm_m1,rpm_m2,rpm_m3,rpm_m4,motor_m1,marker
1784735105.0776849,17725,17011,17846,17306,31538,0.0
1784735105.0882037,17709,17040,17889,17291,31538,0.0
1784735105.0982556,17636,17040,17878,17331,31437,0.0
1784735105.108206,17610,17050,17905,17316,31347,0.0
1784735105.1169493,17559,17045,17910,17356,31268,0.0
1784735105.12719,17533,17050,17878,17376,31202,0.0
1784735105.1371977,17513,17094,17894,17346,31148,0.0
1784735105.14699,17467,17074,17899,17361,31107,0.0
1784735105.157206,17482,17084,17862,17346,31079,0.0
1784735105.1671546,17436,17094,17873,17346,31066,0.0
1784735105.1784148,17421,17108,17883,17346,31067,0.0
1784735105.187363,17406,17094,17862,17321,31081,0.0
1784735105.197074,17361,17055,17862,17301,31109,0.0
1784735105.2075233,17346,17069,17846,17316,31152,0.0
1784735105.2171752,17331,17064,17862,17316,31207,0.0
1784735105.226967,17301,17045,17878,17311,31275,0.0
1784735105.236925,17301,17059,17899,17301,31356,0.0
1784735105.247196,17286,17079,17867,17281,31448,0.0
1784735105.257403,17316,17094,17878,17301,31551,0.0
1784735105.2670007,17301,17069,17873,17291,31664,0.0
1784735105.2768936,17311,17050,17857,17271,31787,0.0
1784735105.2873776,17316,17050,17862,17251,31917,0.0
1784735105.2971861,17346,17079,17851,17266,32054,0.0
1784735105.3069868,17346,17094,17846,17251,32197,0.0
1784735105.316914,17391,17103,17878,17226,32344,0.0
1784735105.3274393,17421,17123,17867,17236,32495,0.0
1784735105.3367467,17452,17094,17905,17271,32648,0.0
1784735105.346701,17502,17142,17894,17266,32800,0.0
1784735105.3574603,17548,17133,17915,17276,32952,0.0
1784735105.3670654,17579,17118,17915,17281,33103,0.0
1784735105.3769467,17626,17094,17899,17286,33249,0.0
1784735105.3866785,17720,17098,17889,17276,33392,0.0
1784735105.3971784,17772,17133,17899,17271,33527,0.0
1784735105.4069796,17820,17123,17910,17296,33656,0.0
1784735105.4167063,17851,17133,17894,17296,33776,0.0
1784735105.4270298,17899,17167,17915,17286,33887,0.0
1784735105.4371865,17947,17167,17910,17286,33987,0.0
1784735105.4470341,17980,17157,17899,17266,34076,0.0
1784735105.4568148,17996,17137,17910,17286,34153,0.0
1784735105.4671566,18045,17137,17942,17266,34217,0.0
1784735105.4769526,18028,17147,17947,17256,34268,0.0
1784735105.4867277,18077,17152,17953,17281,34304,0.0
1784735105.4967957,18110,17113,17931,17291,34327,0.0
1784735105.5070198,18132,17089,17894,17286,34334,0.0
1784735105.5172873,18132,17064,17894,17266,34328,0.0
1784735105.5270648,18148,17050,17910,17286,34306,0.0
1784735105.5369189,18165,17050,17878,17301,34270,0.0
1784735105.547242,18154,17064,17905,17301,34220,0.0
1784735105.5571935,18110,17050,17905,17326,34156,0.0
1784735105.5670235,18143,17074,17910,17301,34079,0.0
1784735105.5770373,18143,17079,17910,17326,33989,0.0
1784735105.5868335,18176,17059,17889,17331,33888,0.0
1784735105.5967488,18165,17021,17894,17331,33775,0.0
1784735105.6067894,18148,17026,17878,17336,33654,0.0
1784735105.616883,18143,17045,17873,17331,33523,0.0
1784735105.626881,18143,17030,17867,17341,33385,0.0
1784735105.6369538,18115,17050,17846,17331,33240,0.0
1784735105.6468866,18077,17045,17798,17331,33091,0.0
1784735105.6569533,18077,17035,17783,17331,32938,0.0
1784735105.6667247,18028,17030,17798,17316,32782,0.0
1784735105.6772025,17985,17021,17772,17321,32626,0.0
1784735105.686896,17974,16987,17793,17321,32470,0.0
1784735105.6966753,17947,17016,17761,17341,32316,0.0
1784735105.7065642,17931,17016,17783,17326,32166,0.0
1784735105.7170045,17915,17026,17767,17356,32020,0.0
1784735105.7270448,17883,17016,17740,17376,31881,0.0
1784735105.7364972,17862,17021,17735,17391,31749,0.0
1784735105.7470126,17851,17016,17730,17351,31626,0.0
1784735105.7566683,17814,17001,17725,17356,31512,0.0
1784735105.7666466,17783,17045,17761,17336,31410,0.0
1784735105.7770338,17735,17030,17777,17361,31319,0.0
1784735105.7868109,17704,17069,17798,17316,31241,0.0
1784735105.7963932,17652,17055,17804,17331,31176,0.0
1784735105.8068197,17647,17069,17756,17321,31126,0.0
1784735105.8164666,17605,17059,17746,17316,31091,0.0
1784735105.8270245,17579,17055,17730,17301,31070,0.0
1784735105.8370109,17528,17079,17740,17301,31065,0.0
1784735105.84666,17502,17098,17746,17316,31075,0.0
1784735105.856761,17502,17133,17740,17316,31100,0.0
1784735105.8666646,17487,17118,17767,17331,31140,0.0
1784735105.8769825,17457,17118,17793,17346,31195,0.0
1784735105.8868692,17436,17118,17761,17341,31265,0.0
1784735105.8965924,17421,17137,17798,17361,31348,0.0
1784735105.9068227,17391,17172,17798,17361,31443,0.0
1784735105.9165163,17411,17182,17777,17361,31551,0.0
1784735105.9269178,17436,17147,17772,17366,31669,0.0
1784735105.9369931,17457,17128,17788,17361,31798,0.0
1784735105.9472353,17452,17137,17809,17371,31798,0.0
1784735105.9570174,17436,17118,17841,17371,32080,0.0
1784735105.9673915,17436,17123,17830,17376,32080,0.0
1784735105.9772031,17467,17128,17862,17346,32386,0.0
1784735105.987586,17497,17098,17841,17351,32386,0.0
1784735105.9962811,17533,17059,17798,17346,32544,0.0
1784735106.0074909,17533,17055,17851,17336,32704,0.0
1784735106.0165088,17543,17084,17841,17331,32863,0.0
1784735106.026391,17574,17089,17809,17336,33021,0.0
1784735106.0364861,17590,17103,17835,17331,33177,0.0
1784735106.0467877,17657,17089,17846,17331,33328,0.0
1784735106.0565405,17673,17094,17814,17321,33472,0.0
1784735106.0662656,17720,17098,17867,17301,33610,0.0
1784735106.0767653,17751,17084,17883,17296,33739,0.0
1784735106.0865014,17804,17079,17878,17291,33858,0.0
1784735106.0969536,17820,17059,17873,17311,33966,0.0
1784735106.10665,17878,17084,17867,17341,34061,0.0
1784735106.1164327,17915,17103,17889,17376,34144,0.0
1784735106.1263819,17942,17108,17867,17411,34212,0.0
1784735106.1363292,17985,17133,17878,17406,34266,0.0
1784735106.1468608,18045,17118,17867,17406,34305,0.0
1784735106.1568835,18045,17103,17851,17406,34327,0.0
1784735106.1666493,18077,17094,17804,17391,34334,0.0
1784735106.176865,18110,17064,17798,17396,34325,0.0
1784735106.1869955,18143,17064,17751,17406,34300,0.0
1784735106.196974,18176,17064,17783,17406,34259,0.0
1784735106.2069876,18198,17045,17767,17401,34203,0.0
1784735106.2163124,18226,17050,17783,17396,34132,0.0
1784735106.226478,18231,17064,17756,17366,34047,0.0
1784735106.2366512,18231,17074,17751,17351,33949,0.0
1784735106.2464256,18248,17045,17767,17336,33837,0.0
1784735106.2568462,18192,17094,17825,17361,33715,0.0
1784735106.2665992,18237,17108,17835,17366,33582,0.0
1784735106.2762814,18176,17074,17814,17331,33441,0.0
1784735106.286145,18176,17089,17793,17361,33292,0.0
1784735106.2967837,18126,17074,17772,17386,33137,0.0
1784735106.3064222,18126,17069,17714,17406,32978,0.0
1784735106.316054,18094,17059,17704,17406,32816,0.0
1784735106.326479,18077,17040,17683,17421,32652,0.0
1784735106.3362632,18028,17016,17673,17406,32489,0.0
1784735106.3467417,18012,17045,17704,17396,32327,0.0
1784735106.3566206,17947,17035,17709,17396,32170,0.0
1784735106.3662667,17910,17030,17730,17366,32017,0.0
1784735106.3760839,17835,17026,17735,17366,31872,0.0
1784735106.386409,17783,16992,17730,17376,31734,0.0
1784735106.3966362,17777,16977,17735,17376,31607,0.0
1784735106.4068668,17720,16958,17725,17361,31490,0.0
1784735106.416562,17688,16949,17735,17331,31386,0.0
1784735106.426391,17673,16953,17699,17331,31294,0.0
1784735106.4363937,17610,16963,17730,17346,31217,0.0
1784735106.4462798,17579,16997,17746,17346,31155,0.0
1784735106.4560575,17564,16968,17751,17341,31109,0.0
1784735106.4665356,17513,16973,17798,17321,31079,0.0
1784735106.476036,17436,16963,17767,17306,31065,0.0
1784735106.486398,17436,16920,17783,17301,31068,0.0
1784735106.4964414,17421,16944,17756,17276,31088,0.0
1784735106.5060773,17421,16963,17751,17306,31124,0.0
1784735106.516456,17396,16997,17820,17316,31177,0.0
1784735106.5266538,17361,17001,17825,17321,31245,0.0
1784735106.5359704,17346,17021,17809,17331,31328,0.0
1784735106.5465748,17316,16992,17820,17361,31426,0.0
1784735106.556379,17301,16973,17804,17361,31536,0.0
1784735106.5659838,17326,16987,17809,17361,31658,0.0
1784735106.5765717,17331,17001,17820,17341,31792,0.0
1784735106.586344,17361,17026,17798,17376,31934,0.0
1784735106.5961075,17361,17050,17783,17346,32085,0.0
1784735106.6066425,17376,17059,17804,17366,32242,0.0
1784735106.6163101,17406,17050,17830,17331,32404,0.0
1784735106.6260617,17406,17055,17814,17316,32569,0.0
1784735106.6362836,17406,17035,17798,17331,32736,0.0
1784735106.6465526,17482,17055,17793,17331,32902,0.0
1784735106.6563044,17513,17035,17751,17346,33067,0.0
1784735106.665989,17559,17059,17767,17361,33228,0.0
1784735106.6764116,17595,17079,17772,17346,33384,0.0
1784735106.6861835,17641,17069,17767,17371,33533,0.0
1784735106.6965694,17673,17123,17777,17406,33673,0.0
1784735106.706306,17704,17133,17783,17411,33803,0.0
1784735106.7161376,17767,17142,17798,17406,33921,0.0
1784735106.7259934,17846,17157,17751,17411,34027,0.0
1784735106.7359753,17899,17118,17767,17396,34118,0.0
1784735106.745837,17947,17177,17767,17346,34194,0.0
1784735106.7564173,18012,17152,17804,17371,34194,0.0
1784735106.766103,18007,17152,17804,17376,34298,0.0
1784735106.7767744,18012,17157,17830,17361,34298,0.0
1784735106.7863796,18028,17089,17814,17346,34325,0.0
1784735106.796903,18066,17098,17788,17361,34334,0.0
1784735106.8066516,18126,17089,17746,17361,34326,0.0
1784735106.81564,18159,17084,17720,17356,34301,0.0
1784735106.8275983,18159,17084,17720,17351,34258,0.0
1784735106.8369186,18165,17094,17730,17346,34198,0.0
1784735106.8457508,18148,17098,17735,17341,34122,0.0
1784735106.857131,18170,17128,17751,17336,34031,0.0
1784735106.8660948,18132,17094,17761,17331,33926,0.0
1784735106.87588,18094,17118,17746,17321,33807,0.0
1784735106.8861992,18110,17103,17740,17316,33677,0.0
1784735106.8959033,18099,17108,17709,17316,33535,0.0
1784735106.9063435,18061,17098,17693,17331,33385,0.0
1784735106.9161031,18077,17064,17714,17331,33227,0.0
1784735106.925903,18061,17074,17688,17331,33064,0.0
1784735106.936446,18045,17103,17673,17346,32896,0.0
1784735106.9461367,17996,17133,17709,17356,32726,0.0
1784735106.9559402,17980,17113,17714,17391,32556,0.0
1784735106.9663458,17931,17157,17751,17376,32387,0.0
1784735106.9761095,17883,17162,17772,17376,32221,0.0
1784735106.9858222,17867,17152,17767,17366,32060,0.0
1784735106.9961824,17835,17133,17735,17361,31907,0.0
1784735107.0058222,17788,17133,17751,17376,31761,0.0
1784735107.0157235,17751,17133,17725,17381,31626,0.0
1784735107.0263166,17720,17128,17746,17396,31503,0.0
1784735107.0355847,17673,17118,17730,17411,31393,0.0
1784735107.0461338,17652,17157,17735,17376,31297,0.0
1784735107.056195,17621,17182,17735,17361,31217,0.0
1784735107.0659237,17595,17177,17788,17376,31153,0.0
1784735107.0759552,17564,17177,17783,17331,31105,0.0
1784735107.085735,17482,17182,17788,17361,31076,0.0
1784735107.0955458,17436,17157,17767,17346,31065,0.0
1784735107.1061025,17411,17167,17767,17356,31072,0.0
1784735107.1160197,17406,17157,17735,17381,31097,0.0
1784735107.1258128,17376,17152,17767,17361,31139,0.0
1784735107.1355793,17361,17147,17767,17391,31200,0.0
1784735107.146104,17346,17172,17809,17376,31277,0.0
1784735107.1558766,17361,17187,17830,17361,31370,0.0
1784735107.1655583,17331,17177,17814,17396,31478,0.0
1784735107.1760497,17331,17177,17846,17391,31599,0.0
1784735107.186358,17316,17177,17809,17436,31733,0.0
1784735107.196108,17301,17162,17730,17446,31879,0.0
1784735107.205882,17331,17147,17751,17436,32033,0.0
1784735107.2156568,17346,17123,17746,17421,32195,0.0
1784735107.2261152,17361,17118,17761,17391,32363,0.0
1784735107.2359593,17406,17142,17735,17406,32534,0.0
1784735107.2456384,17436,17118,17746,17356,32709,0.0
1784735107.2555246,17452,17103,17751,17361,32882,0.0
1784735107.2661266,17528,17113,17751,17326,33054,0.0
1784735107.2758727,17564,17098,17746,17326,33222,0.0
1784735107.2855947,17595,17103,17730,17341,33384,0.0
1784735107.296061,17641,17103,17714,17326,33538,0.0
1784735107.305913,17688,17113,17720,17316,33683,0.0
1784735107.315594,17751,17084,17704,17306,33817,0.0
1784735107.3261533,17783,17103,17735,17301,33938,0.0
1784735107.3354018,17820,17108,17746,17331,34045,0.0
1784735107.345822,17851,17118,17740,17346,34137,0.0
1784735107.3562005,17862,17123,17740,17351,34212,0.0
1784735107.365596,17867,17103,17740,17361,34270,0.0
1784735107.3753192,17931,17113,17735,17341,34310,0.0
1784735107.3855095,17980,17094,17688,17326,34331,0.0
1784735107.396104,17980,17103,17688,17301,34333,0.0
1784735107.405629,17980,17094,17693,17296,34317,0.0
1784735107.4156444,18012,17079,17678,17286,34282,0.0
1784735107.425608,18028,17084,17678,17301,34228,0.0
1784735107.4359865,18045,17103,17678,17301,34157,0.0
1784735107.4453776,18066,17142,17678,17301,34068,0.0
1784735107.4555857,18045,17118,17704,17281,33964,0.0
1784735107.4656997,18028,17142,17709,17301,33844,0.0
1784735107.4754822,18045,17157,17693,17301,33712,0.0
1784735107.485971,18045,17118,17683,17316,33567,0.0
1784735107.4956055,18045,17133,17631,17326,33412,0.0
1784735107.505451,18012,17137,17641,17331,33249,0.0
1784735107.5158813,18012,17147,17641,17336,33079,0.0
1784735107.525719,18012,17128,17662,17311,32905,0.0
1784735107.535979,17980,17167,17647,17316,32728,0.0
1784735107.5455768,17964,17147,17688,17296,32549,0.0
1784735107.5565324,17947,17162,17709,17331,32371,0.0
1784735107.5657008,17931,17162,17693,17316,32198,0.0
1784735107.5754554,17921,17152,17673,17321,32032,0.0
1784735107.5855505,17867,17137,17683,17316,31873,0.0
1784735107.596221,17814,17108,17688,17316,31724,0.0
1784735107.6055493,17814,17098,17683,17301,31586,0.0
1784735107.6154177,17767,17094,17714,17311,31462,0.0
1784735107.6259863,17735,17118,17678,17331,31353,0.0
1784735107.6356714,17667,17084,17688,17306,31260,0.0
1784735107.6461413,17626,17108,17688,17296,31184,0.0
1784735107.655944,17559,17133,17704,17316,31126,0.0
1784735107.6663728,17548,17137,17720,17291,31087,0.0
1784735107.6759436,17487,17152,17704,17301,31067,0.0
1784735107.6857467,17452,17147,17740,17316,31067,0.0
1784735107.6955466,17426,17133,17730,17316,31067,0.0
1784735107.7053633,17396,17123,17740,17366,31086,0.0
1784735107.7152178,17391,17084,17730,17351,31125,0.0
1784735107.725703,17391,17084,17767,17346,31183,0.0
1784735107.7356343,17376,17079,17804,17346,31259,0.0
1784735107.7453501,17391,17098,17761,17316,31353,0.0
1784735107.755083,17376,17113,17793,17331,31463,0.0
1784735107.7656767,17376,17118,17814,17311,31588,0.0
1784735107.7755358,17361,17089,17835,17316,31727,0.0
1784735107.7853808,17361,17103,17793,17316,31878,0.0
1784735107.79506,17381,17113,17788,17301,32039,0.0
1784735107.8054507,17376,17084,17777,17301,32207,0.0
1784735107.8151395,17406,17089,17746,17301,32383,0.0
1784735107.8255682,17436,17098,17720,17286,32562,0.0
1784735107.835369,17487,17123,17746,17301,32743,0.0
1784735107.8451374,17528,17118,17740,17296,32923,0.0
1784735107.8553896,17595,17142,17772,17271,33101,0.0
1784735107.8655188,17626,17147,17814,17286,33273,0.0
1784735107.8752325,17657,17147,17862,17301,33440,0.0
1784735107.8855383,17688,17133,17846,17336,33598,0.0
1784735107.895199,17735,17118,17814,17361,33745,0.0
1784735107.9057477,17809,17118,17841,17366,33880,0.0
1784735107.9152784,17846,17123,17867,17346,33999,0.0
1784735107.9256587,17883,17142,17873,17346,34102,0.0
1784735107.935504,17915,17103,17835,17316,34187,0.0
1784735107.9455273,17996,17118,17846,17326,34254,0.0
1784735107.955209,18045,17108,17841,17316,34301,0.0
1784735107.9651103,18061,17079,17804,17316,34328,0.0
1784735107.9754667,18094,17074,17756,17361,34334,0.0
1784735107.9852457,18110,17050,17772,17371,34320,0.0
1784735107.9954832,18159,17069,17761,17341,34286,0.0
1784735108.0057328,18165,17103,17820,17351,34232,0.0
1784735108.0153177,18176,17103,17825,17336,34158,0.0
1784735108.025627,18231,17123,17825,17316,34066,0.0
1784735108.035331,18231,17167,17809,17351,33957,0.0
1784735108.0455847,18226,17128,17767,17391,33832,0.0
1784735108.055175,18192,17167,17783,17376,33693,0.0
1784735108.065344,18181,17137,17761,17381,33541,0.0
1784735108.075538,18159,17137,17783,17366,33378,0.0
